Player,Age,Team,G,Tgt,Rec,Yds,Target_Share,CATCHABLE,AIR,team_air,air_pct,RZ TGT,RZ_REC,RZ_REC_PCT,RZ_P_TD,RZ_TGT_PCT,Routes Run,FPTS,FPTS/G,XFP,fpts_diff,RTD,TD/G,XTD,td_diff,WOPR,VOR,YPRR,normalized_line,TGT/G
jamarr chase,25,CIN,16,185,125,1412,30.43,129,1570,4707,33.35,22,13,59.1%,7,44.9%,634,313.6,19.6,19.2,0.4,8,0.5,0.43,0.07,0.69,6.6,2.23,,11.56
justin jefferson,26,MIN,17,141,84,1048,30.13,87,1438,3757,38.28,18,5,27.8%,2,40.9%,558,201.5,11.9,14.7,-2.8,2,0.12,0.5,-0.39,0.72,-1.1,1.88,,8.29
puka nacua,24,LAR,16,166,129,1715,28.57,133,1566,5428,28.85,17,14,82.4%,5,29.3%,463,375.0,23.4,19.0,4.4,10,0.69,0.51,0.18,0.63,10.4,3.7,,10.38
ceedee lamb,26,DAL,13,117,75,1077,19.28,83,1403,5069,27.68,17,8,47.1%,2,30.4%,454,200.9,15.5,17.2,-1.7,3,0.23,0.6,-0.37,0.48,2.5,2.37,,9.0
malik nabers,22,NYG,4,35,18,271,6.96,19,555,4473,12.41,4,1,25.0%,0,12.1%,136,57.1,14.3,15.9,-1.7,2,0.5,0.62,-0.12,0.19,1.3,1.99,,8.75
brian thomas,23,JAX,14,91,48,707,16.64,58,1315,4880,26.95,7,2,28.6%,1,14.3%,471,138.8,9.9,12.2,-2.3,2,0.21,0.37,-0.15,0.44,-3.1,1.5,,6.5
nico collins,26,HOU,15,120,71,1117,21.7,72,1529,4765,32.09,18,8,44.4%,3,37.5%,483,226.2,15.1,14.8,0.3,6,0.47,0.52,-0.06,0.55,2.1,2.31,,8.0
aj brown,28,PHI,15,121,78,1003,26.08,79,1425,4483,31.79,13,9,69.2%,3,43.3%,484,220.3,14.7,13.8,0.9,7,0.47,0.36,0.11,0.61,1.7,2.07,,8.07
drake london,24,ATL,12,112,68,919,21.58,69,1221,4170,29.28,15,9,60.0%,7,45.5%,396,201.9,16.8,16.8,0.0,7,0.58,0.51,0.08,0.53,3.8,2.32,,9.33
amon-ra st brown,26,DET,17,172,117,1401,31.27,127,1390,3732,37.25,35,20,57.1%,10,61.4%,567,324.0,19.1,19.3,-0.2,11,0.65,0.68,-0.03,0.73,6.1,2.47,,10.12
ladd mcconkey,24,LAC,16,106,66,789,19.49,72,1046,4546,23.01,15,7,46.7%,4,28.3%,562,180.9,11.3,11.5,-0.2,6,0.38,0.4,-0.02,0.45,-1.7,1.4,,6.62
terry mclaurin,30,WAS,10,60,38,582,13.89,39,839,3998,20.99,8,4,50.0%,2,25.0%,264,114.2,11.4,10.1,1.3,3,0.3,0.31,-0.01,0.36,-1.6,2.2,,6.0
tee higgins,26,CIN,15,98,59,846,16.12,61,1314,4707,27.92,15,10,66.7%,4,30.6%,527,211.6,14.1,11.8,2.3,11,0.73,0.43,0.31,0.44,1.1,1.61,,6.53
dj moore,28,CHI,17,85,50,682,15.98,54,988,4944,19.98,11,6,54.5%,3,26.2%,563,172.2,10.1,10.0,0.1,6,0.41,0.4,0.01,0.38,-2.9,1.21,,5.0
tyreek hill,31,MIA,4,29,21,265,6.28,21,399,3362,11.87,2,2,100.0%,1,6.5%,105,53.5,13.4,12.1,1.3,1,0.25,0.24,0.01,0.18,0.4,2.52,,7.25
jaxon smith-njigba,23,SEA,17,163,119,1793,35.82,124,1833,3758,48.78,17,10,58.8%,6,48.6%,497,359.9,21.2,17.5,3.7,10,0.59,0.47,0.12,0.88,8.2,3.61,,9.59
davante adams,33,LAR,14,114,60,789,19.62,65,1444,5428,26.6,32,13,40.6%,12,55.2%,409,222.9,15.9,18.3,-2.4,14,1.0,1.11,-0.11,0.48,2.9,1.93,,8.14
marvin harrison,23,ARI,12,73,41,608,11.83,45,946,4660,20.3,10,6,60.0%,4,24.4%,385,127.8,10.7,11.6,-0.9,4,0.33,0.45,-0.12,0.32,-2.3,1.58,,6.08
mike evans,32,TAM,8,62,30,368,11.46,32,824,4504,18.29,9,4,44.4%,3,19.6%,228,84.8,10.6,14.7,-4.1,3,0.38,0.52,-0.14,0.3,-2.4,1.61,,7.75
