rank,Player,Age_2025,Team_2025,G_2025,model_score,market_score,production_score,opportunity_score,youth_score,trend_score,trend_label,confidence,prop_receiving_yards,prop_receptions,prop_receiving_tds,FPTS/G_2025,XFP_2025,TGT/G_2025,Target_Share_2025,AIR_2025,air_yards_per_game,air_pct_2025,WOPR_2025,YPRR_2025,TGT/G_diff_2025_minus_2024,Target_Share_diff_2025_minus_2024,air_pct_diff_2025_minus_2024,WOPR_diff_2025_minus_2024,YPRR_diff_2025_minus_2024
25,davante adams,33.0,LAR,14.0,66.86,62.91,90.32,83.59,2.0,30.29,Falling,100.0,790.5,,9.0,15.9,18.3,8.14,19.62,1444.0,103.14,26.6,0.48,1.93,-1.93,-9.69,3.53,-0.12,-0.21
26,marvin harrison,23.0,ARI,12.0,66.64,48.44,67.76,59.97,86.4,20.59,Falling,100.0,823.0,,5.0,10.7,11.6,6.08,11.83,946.0,78.83,20.3,0.32,1.58,-0.74,-10.35,-37.98,-0.42,-0.21
27,brian thomas,23.0,JAX,14.0,66.03,29.95,66.88,70.01,86.4,14.46,Falling,100.0,711.5,,4.0,9.9,12.2,6.5,16.64,1315.0,93.93,26.95,0.44,1.5,-1.32,-8.84,-13.17,-0.22,-1.18
28,dk metcalf,28.0,PIT,15.0,65.76,49.73,80.04,81.78,29.2,48.75,Stable,100.0,825.0,,5.0,12.5,12.0,6.6,18.97,1044.0,69.6,31.83,0.51,1.98,-0.6,-0.01,-8.34,-0.06,0.1
29,rashee rice,25.0,KAN,8.0,65.62,50.0,79.01,58.37,59.6,77.34,Strong riser,43.33,,,,18.8,18.1,9.75,14.21,338.0,42.25,7.46,0.27,2.15,2.5,9.14,1.7,0.15,
30,quentin johnston,24.0,LAC,13.0,65.32,24.73,74.96,67.64,73.6,42.19,Stable,100.0,642.0,,5.0,13.2,12.0,6.46,15.44,989.0,76.08,21.76,0.38,1.51,0.39,-3.09,-5.43,-0.09,-0.53
31,malik nabers,22.0,NYG,4.0,64.1,50.0,62.72,49.24,96.0,36.55,Falling,21.67,,,,14.3,15.9,8.75,6.96,555.0,138.75,12.41,0.19,1.99,-2.58,-23.73,-31.47,-0.58,-0.32
32,courtland sutton,30.0,DEN,17.0,63.84,55.22,77.84,85.86,14.8,30.46,Falling,100.0,778.0,,7.0,12.9,12.9,7.29,21.23,1542.0,90.71,34.36,0.56,1.61,-0.65,-3.36,-11.73,-0.13,-0.48
33,alec pierce,25.0,IND,15.0,63.55,15.45,78.16,72.19,59.6,76.83,Strong riser,65.0,,49.5,5.0,12.2,11.3,5.6,15.85,1593.0,106.2,36.37,0.49,2.1,1.29,1.83,2.98,0.05,0.15
34,garrett wilson,25.0,NYJ,7.0,63.2,63.83,68.62,57.02,59.6,34.91,Falling,72.92,996.0,,5.0,14.2,12.8,8.43,12.5,535.0,76.43,15.72,0.3,1.73,-0.63,-13.65,-19.98,-0.34,-0.03
35,christian watson,26.0,GNB,10.0,61.38,48.81,77.0,56.87,45.2,64.83,Rising,89.17,770.5,,6.0,13.2,11.0,5.5,11.96,977.0,97.7,22.81,0.34,2.5,1.97,0.54,-2.63,-0.01,-0.17
36,jordan addison,23.0,MIN,14.0,61.33,22.25,57.32,71.14,86.4,34.61,Falling,100.0,656.0,,4.0,9.7,10.2,5.64,16.88,1083.0,77.36,28.83,0.45,1.36,-0.96,-2.27,-6.72,-0.09,-0.5
37,keon coleman,22.0,BUF,12.0,61.21,50.0,52.16,54.59,96.0,54.23,Stable,65.0,,,,8.5,9.5,4.92,12.32,659.0,54.92,18.23,0.31,1.27,0.54,0.8,-3.53,-0.02,-0.67
38,Elic Ayomanor,22.0,TEN,16.0,61.14,50.0,42.28,70.1,96.0,,Unknown,65.0,,,,7.3,8.7,5.56,16.79,1126.0,70.38,28.05,0.45,1.02,,,,,
39,Luther Burden III,22.0,CHI,15.0,60.04,45.33,61.64,37.52,96.0,,Unknown,100.0,835.5,,4.0,8.5,6.7,4.0,11.28,460.0,30.67,9.3,0.23,2.68,,,,,
40,josh downs,24.0,IND,16.0,59.87,47.22,56.08,62.55,73.6,24.63,Falling,100.0,787.0,,,8.7,8.5,5.5,16.6,659.0,41.19,15.05,0.35,1.49,-2.14,-5.15,-2.12,-0.1,-0.84
