rank,Player,Age_2025,Team_2025,G_2025,model_score,market_score,production_score,opportunity_score,youth_score,trend_score,trend_label,confidence,prop_receiving_yards,prop_receptions,prop_receiving_tds,FPTS/G_2025,XFP_2025,TGT/G_2025,Target_Share_2025,AIR_2025,air_yards_per_game,air_pct_2025,WOPR_2025,YPRR_2025,TGT/G_diff_2025_minus_2024,Target_Share_diff_2025_minus_2024,air_pct_diff_2025_minus_2024,WOPR_diff_2025_minus_2024,YPRR_diff_2025_minus_2024
1,jaxon smith-njigba,23.0,SEA,17.0,93.75,85.23,97.84,98.19,86.4,93.73,Strong riser,100.0,1330.5,99.5,8.0,21.2,17.5,9.59,35.82,1833.0,107.82,48.78,0.88,3.61,1.53,11.74,15.03,0.28,1.72
2,puka nacua,24.0,LAR,16.0,91.49,95.61,99.12,91.14,73.6,83.17,Strong riser,100.0,1337.5,105.0,8.0,23.4,19.0,10.38,28.57,1566.0,97.88,28.85,0.63,3.7,0.74,8.98,5.37,0.17,0.09
3,jamarr chase,25.0,CIN,16.0,88.15,92.67,95.6,96.34,59.6,61.34,Rising,100.0,1313.5,104.5,10.0,19.6,19.2,11.56,30.43,1570.0,98.12,33.35,0.69,2.23,1.27,2.56,-8.61,-0.02,-0.28
4,drake london,24.0,ATL,12.0,86.54,83.42,93.2,88.1,73.6,30.31,Falling,100.0,1106.5,,7.0,16.8,16.8,9.33,21.58,1221.0,101.75,29.28,0.53,2.32,0.04,-7.73,-16.79,-0.23,-0.18
5,george pickens,24.0,DAL,17.0,85.69,78.3,93.2,87.79,73.6,53.65,Stable,100.0,1012.5,,7.0,17.2,15.3,8.06,22.57,1547.0,91.0,30.52,0.55,2.34,0.7,0.18,-13.52,-0.09,0.06
6,amon-ra st brown,26.0,DET,17.0,85.62,88.65,96.96,98.0,45.2,77.76,Strong riser,100.0,1235.5,103.5,10.0,19.1,19.3,10.12,31.27,1390.0,81.76,37.25,0.73,2.47,1.83,4.26,-2.4,0.05,0.02
7,Tetairoa McMillan,22.0,CAR,17.0,83.36,69.32,78.08,90.11,96.0,,Unknown,100.0,939.5,,6.0,12.6,12.0,7.18,25.42,1410.0,82.94,40.87,0.67,1.83,,,,,
8,chris olave,25.0,NOR,16.0,82.96,74.45,89.96,95.54,59.6,90.97,Strong riser,100.0,1021.0,,6.0,16.8,16.0,9.75,27.61,1841.0,115.06,38.46,0.68,1.98,4.25,19.1,24.11,0.45,-0.33
9,Emeka Egbuka,23.0,TAM,17.0,80.05,66.76,76.8,88.13,86.4,,Unknown,100.0,903.0,,6.0,11.5,14.0,7.47,23.48,1572.0,92.47,34.9,0.6,1.74,,,,,
10,zay flowers,25.0,BAL,17.0,79.58,62.55,88.88,90.9,59.6,69.89,Rising,100.0,979.5,,5.0,14.3,12.1,6.94,28.99,1204.0,70.82,35.18,0.68,2.52,0.12,3.61,0.31,0.06,-0.02
11,nico collins,26.0,HOU,15.0,78.71,77.01,90.88,87.08,45.2,62.96,Rising,100.0,1073.5,,6.0,15.1,14.8,8.0,21.7,1529.0,101.93,32.09,0.55,2.31,-0.25,3.6,6.98,0.1,-0.76
12,ceedee lamb,26.0,DAL,13.0,78.31,76.37,93.12,82.26,45.2,39.96,Falling,100.0,1185.5,90.5,8.0,15.5,17.2,9.0,19.28,1403.0,107.92,27.68,0.48,2.37,-1.13,-5.16,-0.4,-0.08,0.0
13,aj brown,28.0,PHI,15.0,76.28,84.71,87.68,90.64,29.2,45.88,Stable,100.0,1108.5,,7.0,14.7,13.8,8.07,26.08,1425.0,95.0,31.79,0.61,2.07,0.61,2.87,-14.93,-0.07,-1.38
14,justin jefferson,26.0,MIN,17.0,76.26,76.57,80.28,94.49,45.2,39.38,Falling,100.0,1160.5,93.0,7.0,11.9,14.7,8.29,30.13,1438.0,84.59,38.28,0.72,1.88,-0.77,0.34,-8.04,-0.05,-0.81
15,wandale robinson,24.0,NYG,16.0,75.3,32.41,83.44,89.35,73.6,76.7,Strong riser,100.0,692.0,,,13.6,13.6,8.75,27.83,1187.0,74.19,26.54,0.6,1.87,0.51,2.56,7.12,0.09,0.57
16,rome odunze,23.0,CHI,12.0,74.76,53.94,76.36,75.4,86.4,54.69,Stable,100.0,796.0,,6.0,12.2,14.4,7.5,16.92,1252.0,104.33,25.32,0.43,1.59,1.56,-2.25,-12.44,-0.12,0.15
17,jameson williams,24.0,DET,17.0,72.67,57.42,76.28,75.29,73.6,55.68,Stable,100.0,898.5,,5.0,12.9,11.2,6.0,18.55,1289.0,75.82,34.54,0.52,1.86,-0.07,1.12,-2.0,0.0,-0.37
18,troy franklin,22.0,DEN,17.0,71.16,50.0,63.8,75.78,96.0,94.18,Strong riser,65.0,,,,10.4,11.4,6.12,17.81,1321.0,77.71,29.43,0.47,1.44,2.81,8.16,11.79,0.2,0.33
19,michael wilson,25.0,ARI,17.0,69.06,34.26,77.0,84.82,59.6,89.57,Strong riser,100.0,702.0,,,13.0,12.7,7.41,20.42,1502.0,88.35,32.23,0.53,1.59,2.97,6.84,1.83,0.11,0.4
20,tee higgins,26.0,CIN,15.0,69.02,71.34,77.52,73.07,45.2,35.6,Falling,100.0,875.5,,8.0,14.1,11.8,6.53,16.12,1314.0,87.6,27.92,0.44,1.61,-2.55,-1.24,-1.47,-0.03,-0.52
21,parker washington,23.0,JAX,16.0,68.99,31.23,74.16,69.45,86.4,95.24,Strong riser,100.0,750.0,,4.0,11.5,11.1,5.94,17.37,1187.0,74.19,24.32,0.43,2.06,2.94,7.6,9.2,0.18,0.9
22,devonta smith,27.0,PHI,17.0,68.95,67.67,75.72,85.25,36.0,56.27,Stable,100.0,1025.5,,5.0,11.9,11.4,6.65,24.35,1355.0,79.71,30.23,0.58,1.92,-0.2,3.06,-2.04,0.03,-0.54
23,ladd mcconkey,24.0,LAC,16.0,68.84,61.63,65.32,75.0,73.6,30.9,Falling,100.0,869.0,,6.0,11.3,11.5,6.62,19.49,1046.0,65.38,23.01,0.45,1.4,-0.38,-3.32,-7.55,-0.11,-1.31
24,jaylen waddle,27.0,MIA,16.0,67.96,56.14,77.8,84.87,36.0,84.4,Strong riser,100.0,885.5,,5.0,12.1,11.2,6.25,21.65,1306.0,81.62,38.85,0.6,2.18,0.72,7.04,9.17,0.17,0.45
