Player,Rank_2024,Outlook_2025,Notes,Tier_1,Tier_2,Tier_3,Tier_4,Tier_5,Tier_6,PPR_Rank_2025
Jamaar,1,Worse,Bengals def gonna be better,Tier 1,Tier 2,tier 3,tier 4,tier 5,tier 6,4
JJettas,2,Push,JJ mcarthy bottleneck,Jamaar Chase,garrett wilson,zay flowers,jameson williams,xavier worthy,jordan whittington,21
Amon Ra,3,Push,"Lions still goated, lost ben johnson tho, Lions just keep scoring even if they winning",justin jefferson,brian thomas,tyreek hill,cooper kupp,rashod bateman,Jalen coker,3
Nico Collins,26,Better,No competition + nico is goated,nico collins,jaxon smith-njigba,courtland sutton,darnell mooney,josh palmer,kayshon boutte,8
ceedee,5,Better,"Dak back, Pickens tho, new hc",amon-ra st brown,marvin harrison,terry mclaurin,deebo samuel,khalil shakir,tyler lockett,22
Puka,21,Better,He'll be back,puka nacua,rashee rice,Travis Hunter,jordan addison,quentin johnston,xavier legette,1
AJ,16,Better,Hes a stud,drake london,dj moore,george pickens,jaylen waddle,deandre hopkins,elijah moore,11
BTJ,4,Worse,"TLaw back but he is mid, new hc tho, BTJ was too good hes gonna regress",malik nabers,tee higgins,rome odunze,marvin mims,jauan jennings,amari cooper,42
Malik,6,push,"year 2, russ and qb, 0 target compition",ceedee lamb,ladd mcconkey,Matthew Golden,keon coleman,ray-ray mccloud,,102
Drake London,10,Better,London is him,aj brown,mike evans,chris godwin,jayden reed,devaughn vele,,19
JSN,7,Better,"year 3, no DK, sam slings",,davante adams,jerry jeudy,ricky pearsall,alec pierce,,2
Garret Wilson-,9,Push,"Wilson is him, JF1 is interesting",,,jakobi meyers,brandon aiyuk,noah brown,,62
Rashee Rice,,Better,Dawg,,,dk metcalf,Emeka egbuka,adonai mitchell,,40
Ladd Monkey,12,Push/better,"no compition except QJ, 2nd year leap, idk",,,devonta smith,,,,30
DJ Moore,17,Better,ben johnson has a brain,,,calvin ridley,,,,35
Terry,8,worse,"OLD, Deebo, better recievrs in the league, daniels is him",,,tetoria Millen,,,,56
Mike Evans,13,push,no ,,,stefon diggs,,,,75
Davante,14,Worse,"OLD, wr2, MCvay goat tho",,,chris olave,,,,9
Tyreek,18,Better,Not picking,,,Jayden Higgins,,,,105
Courtland Sutton,15,Push,He is a poor mans pickens,,,,,,,13
Tee,19,Worse,Bengals def aint gonna be as bad,,,,,,,15
Marv,34,Better,Hes a stud,,,,,,,49
Devonta,24,Better,He was injured + eagles are nice,,,,,,,20
DK,35,Worse,bum,,,,,,,26
Zay,22,Push,Ravens run first + zay is mid,,,,,,,7
Jakobi Meyers,29,Better,Hes unreal,,,,,,,32
Darnell Money,27,Better,"Hes a stud, atlanta will be better",,,,,,,79
Jerry Juedy,11,Worse,"Browns mud, flacco->pickett->sheduer",,,,,,,52
Calvin Ridley,30,Better,Cam Ward + no competition,,,,,,,117
Matthew Golden,,R,"packer core mid, hes gonna be 1, draft",,,,,,,90
Josh Downs,,Better,"bad qbs, slant merchasnt tho",,,,,,,44
Chris Godwin,,Better,"Mike evans getting older, baker is him",,,,,,,78
Ricky Pearsell,,Better,"aiyuk whines, juaun is mid, Draft",,,,,,,72
Jordan Addison,20,Worse,JJ mcarthy bottleneck + suspension,,,,,,,45
Xavier Worthy,31,Worse,Rice gonna be back,,,,,,,59
tetoria Millen,,R,"Bryce is nice, new coach, ",,,,,,,16
Jaydeen Reed,28,Worse,Matthew Golden,,,,,,,115
Rome,,Better,draft,,,,,,,41
Emeka egbuka,,R,"old recievrs, idk gotta watch film",,,,,,,23
demario,,Better,draft,,,,,,,65
Jayden Higgins,,R,"investigate, clear line to wr2",,,,,,,47
Jameson Williams,23,Push,"explosive, unpredictable",,,,,,,12
Travis Hunter,,R,Draft,,,,,,,97
Khalil Shakir,32,Worse,Hes a bum,,,,,,,36
Keenan,33,Worse,better recievers on the squad,,,,,,,29
Kupp,36,IDK,IDK,,,,,,,53
Jaylen Waddle,,,DONOTDRAFT,,,,,,,24
George Pickens,,,DONOTDRAFt,,,,,,,5
Chris Olave,,,DONOTDRAFt,,,,,,,6
Jauan Jennigs,25,Worse,Ricky and Aiyuk are nice,,,,,,,33
Deebo,,Better,"Old, sneaky good tho",,,,,,,25
Keon,,Beter,"year2 jump, mid compition, Cheeky",,,,,,,60
Pittman,,Worse,dwons is betetr,,,,,,,18
shaheed,,,DONOTDRAFt,,,,,,,39
Cedric Tilllman,,,IDK,,,,,,,98
Hollywood,,Better,"prob not draft, worthy and rice are 1,2",,,,,,,43
Josh Palmer,,,Investigate,,,,,,,106
