season,player,market,bettable_line_nearest_half,sportsbook_count,sportsbooks,betmgm_line,betrivers_line,caesars_line,draftkings_line,fanduel_line,bet365_line,minimum_sportsbook_line,maximum_sportsbook_line,sportsbook_line_range,population_standard_deviation,paired_two_way_book_count,ladder_fit_book_count
2026,Aaron Rodgers,passing_tds,21,5,BetMGM|BetRivers|Caesars|DraftKings|bet365,20.891522,20.5,20.865757,22.324311,,20.891522,20.5,22.324311,1.824311,0.632548,5,0
2026,Baker Mayfield,passing_tds,24,6,BetMGM|BetRivers|Caesars|DraftKings|FanDuel|bet365,25.012984,24.48004,23.176447,23.574212,24.233126,24.122425,23.176447,25.012984,1.836537,0.595203,6,0
2026,Bo Nix,passing_tds,24,5,BetMGM|BetRivers|Caesars|DraftKings|bet365,23.749881,24.081878,23.176447,24.032083,,24.032083,23.176447,24.081878,0.905431,0.339842,5,0
2026,Brock Purdy,passing_tds,28,6,BetMGM|BetRivers|Caesars|DraftKings|FanDuel|bet365,28.025213,27.5,27.337433,27.5,27.5,28.025213,27.337433,28.025213,0.68778,0.272868,6,0
2026,Bryce Young,passing_tds,20,6,BetMGM|BetRivers|Caesars|DraftKings|FanDuel|bet365,20.108478,20.5,20.5,20.5,20.5,20.5,20.108478,20.5,0.391522,0.145912,6,0
2026,C.J. Stroud,passing_tds,23,6,BetMGM|BetRivers|Caesars|DraftKings|FanDuel|bet365,23.188885,22.5,23.30566,22.92972,23.062638,21.284492,21.284492,23.30566,2.021167,0.687134,6,0
2026,Caleb Williams,passing_tds,23,6,BetMGM|BetRivers|Caesars|DraftKings|FanDuel|bet365,24.032083,23.520039,23.5,23.560669,23.105095,23.176447,23.105095,24.032083,0.926988,0.301654,6,0
2026,Cam Ward,passing_tds,18,5,BetMGM|BetRivers|Caesars|FanDuel|bet365,18.5,18.720031,17.5,,18.531214,18.5,17.5,18.720031,1.220031,0.432958,5,0
2026,Cameron Ward,passing_tds,19,1,DraftKings,,,,18.5,,,18.5,18.5,0,0,1,0
2026,Dak Prescott,passing_tds,27,6,BetMGM|BetRivers|Caesars|DraftKings|FanDuel|bet365,26.974787,27.030679,26.01438,26.445649,26.812332,26.974787,26.01438,27.030679,1.0163,0.366809,6,0
2026,Drake Maye,passing_tds,26,6,BetMGM|BetRivers|Caesars|DraftKings|FanDuel|bet365,25.483989,26.51996,25.823553,25.993886,26.137656,25.993886,25.483989,26.51996,1.035971,0.312627,6,0
2026,Fernando Mendoza,passing_tds,12,5,BetMGM|BetRivers|Caesars|FanDuel|bet365,12.97925,12.713328,11.172907,,12.812576,12.738733,11.172907,12.97925,1.806344,0.661767,5,0
2026,Geno Smith,passing_tds,14,1,bet365,,,,,,14.22307,14.22307,14.22307,0,0,1,0
2026,Jalen Hurts,passing_tds,22,6,BetMGM|BetRivers|Caesars|DraftKings|FanDuel|bet365,22.07028,22.5,19.217399,22.5,22.037632,22.5,19.217399,22.5,3.282601,1.17397,6,0
2026,Jared Goff,passing_tds,30,6,BetMGM|BetRivers|Caesars|DraftKings|FanDuel|bet365,29.5,29.5,30.039643,30.06341,29.5,29.5,29.5,30.06341,0.56341,0.260083,6,0
2026,Jaxson Dart,passing_tds,19,6,BetMGM|BetRivers|Caesars|DraftKings|FanDuel|bet365,19.872424,19.5,18.44656,19.872424,19.012381,19.872424,18.44656,19.872424,1.425864,0.537537,6,0
2026,Jayden Daniels,passing_tds,21,6,BetMGM|BetRivers|Caesars|DraftKings|FanDuel|bet365,21.5,20.640034,20.730147,21.089379,21.012625,21.089379,20.640034,21.5,0.859966,0.279255,6,0
2026,Joe Burrow,passing_tds,33,6,BetMGM|BetRivers|Caesars|DraftKings|FanDuel|bet365,33.495056,32.5,32.5,33.120706,32.5,33.120706,32.5,33.495056,0.995056,0.393077,6,0
