Player,Rank_2024,Outlook_2025,Notes,PPR_Points_2025,PPR_Rank_2025
Broccoli Bowers,1,Push,Goat,176.2,11
Trey Mcbride,2,Better,Solid player TDs comin,315.9,1
Georger Kittle,3,Better,wr gonna be mid,161.5,13
Jonnu,4,Worse,back with arthur DONOTDRAFT,85.2,35
THock,,Better,He nwill be back + addison gonna miss time,112.8,26
Laporta,8,Better,Why was he so bad last year,106.9,27
Travis,5,Push,Mid,193.2,3
Hunter Henry,11,Better,no compition qb year 2,178.8,9
Evan Engram,23,Better,What happened,102.8,29
isaiha Likely,15,Better,mark is done,61.7,45
Dallas Gogurt,,Better,?,185.1,7
Will Diselly,,Push,,20.7,77
Mark Andrews,6,Worse,mid,131.0,16
Dalton Schultz,20,Better,Better te ,177.7,10
Tucker Kraft,9,Worse,Musgrave is better,117.2,24
Dalton Kincaid,20,Better,Surely,126.1,20
Njoku,10,Push,no qb,86.3,34
Cade Otton,12,Push,no compition at te,122.2,22
Jake Fergusun,,Better,,188.1,5
Noah Fant,,Push,,74.8,37
Zach Ertz,7,Worse,Old,126.4,19
Mike gesiki,11,Worse,mid ,70.7,41
Kyle Pitts,14,Worse,mid,210.8,2
Conklin,17,Better,Hes a te2,17.3,82
Juwan,16,WOrse,saints trash,179.9,8
Pat Friermoth,8,Worse,TE2 DONOTDRAFT,113.6,25
Cole Kmet,19,Worse,Better te on team,78.7,36
