Player,Rank_2024,Outlook_2025,Notes,Tier_1,Tier_2,Tier_3,Tier_4,Tier_5,Tier_6,Handcuff,PPR_Points_2025,PPR_Rank_2025
Bijan,3,Better,Hes a stud,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Handcuff,370.8,2
Saquon,2,Push,"nothing much to say, hurts had 14 rushing tds tho...",bijan robinson,james conner,jaylen warren,najee harris,,,tyler allgeier,232.3,14
Jahmy Gibbs,1,Push,"He's a stud, dmont is back tho",saquon barkley,bucky irving,tyrone tracy,tony pollard,,alexander mattison,,366.9,3
Jeanty,,R,Stud,jahmyr gibbs,james cook,aaron jones,,antonio gibson,,,245.1,11
CMC,,Better,Draft if he falls,Jeanty,alvin kamara,dandre swift,travis etienne,ray davis,,,416.6,1
Josh Jacobs,5,Push,"hes good, pack is good, good pick",kyren williams,joe mixon,brian robinson,tank bigsby,,,,237.1,13
Kyren Williams,6,Push,He's great,josh jacobs,kenneth walker,rhamondre ste,,,,,263.3,9
Devon,4,Worse,"The dolphins suck, hes not durable",CMC,chase brown,jordan mason,kareem hunt,,,,322.8,5
James Conner,10,Better,My goat,jonathan taylor,david montgomery,austin ekeler,rachaad white,,,,33.3,79
JT,11,Push,"bad qb play, hes good tho",derrick henry,isiah pacheco,breece hall,zach charbonnet,,,,362.3,4
Derrick Henry,5,Worse,OLD,devon achane,chuba hubbard,jk dobbins,,,,,279.5,8
Bucky,12,Better,"stud, white is bad, they believe in him",,javonte williams,rico dowdle,,,,,138.5,34
Kamara,8,Worse,"Saints, he might be a checkdown merchant tho",,Omarion Hampton,tyjae spears,,,,,100.7,46
Isaihah Pichacho,,Better,Hes back,,,Teryvon Henderson,,,,,87.3,56
Chase Brown,9,Push,"great opprutunity, mid back",,,,,,,,282.6,7
Dmont,17,Better,got injured + hes nice,,,,,,,,166.9,27
Chuba,13,Worse,"Not a bad pick, light compition",,,,,,,,125.4,38
Brian Robinson,26,Better,Hes good,,,,,,,,62.5,63
James Cook,7,Worse,bum,,,,,,,,302.2,6
Ken Walker,24,Better,hes healthy ,,,,,,,,191.9,22
aaron jones,14,Worse,old + jordan mason is here,,,,,,,,118.7,41
Jaylen Warren,33,Better,rb 1,,,,,,,,217.1,17
Tyrone Tracy,23,Better,hes the starter and a dawg,,,,,,,,160.8,28
Javonte,26,Better,dog + no compition,,,,,,,,242.8,12
breece hall,15,Worse,they dont like him for some reason,,,,,,,,207.7,19
Joe Mixon,16,worse,old + mid,,,,,,,,0.0,
Jordan Mason,34,Better,He's genuinly nice,,,,,,,,128.9,36
Omarion Hampton,,R,He is better than najee,,,,,,,,135.7,35
Rhamodre Stevenson,25,IDK,better team + better coach but treyvon Henderson,,,,,,,,178.8,25
Najee,18,Worse,Hampton is better,,,,,,,,11.6,103
Roschon Johnson,43,Better,hes the best rb on the team,,,,,,,,1.7,131
Dobbins,21,Push,"high injury, weak room is harvey is mid",,,,,,,,115.9,43
tyjae Spears,35,Better,Mid but hes better than pollard,,,,,,,,111.7,44
Teryvon Henderson,,R,Hes nice,,,,,,,,206.2,21
braelon allen,40,Better,They dont like breece,,,,,,,,15.3,98
Travis Etienne,31,Better,IDK hes kinda mid,,,,,,,,253.9,10
Tank,32,Push,,,,,,,,,53.8,69
Swift,17,Worse,Roschon is better,,,,,,,,228.6,15
Rico,20,Better,recieving work cheeky,,,,,,,,216.3,18
Austin Ekeler,,Push,rb2,,,,,,,,13.1,101
Zach Charbonnet,22,Worse,rb2 + not good,,,,,,,,181.4,24
Tony Pollard,18,Worse,Hes bad,,,,,,,,185.8,23
Rachaad white,19,Worse,DONOTDRAFT,,,,,,,,143.0,32
