sportsbook,jurisdiction,season,market,status,priced_rows,player_lines,detail,retrieved_at_ct,source_url
ESPN BET,IL,2026,rushing_tds,discontinued_brand,0,0,ESPN BET Sportsbook rebranded to theScore Bet on 2025-12-01; ESPN BET is now a content-focused brand.,2026-07-19T00:28:40-05:00,https://support.espn.com/hc/en-us/articles/19990992084116-What-is-ESPN-BET
ESPN BET,IL,2026,receiving_yards,discontinued_brand,0,0,ESPN BET Sportsbook rebranded to theScore Bet on 2025-12-01; ESPN BET is now a content-focused brand.,2026-07-19T00:28:40-05:00,https://support.espn.com/hc/en-us/articles/19990992084116-What-is-ESPN-BET
ESPN BET,IL,2026,receptions,discontinued_brand,0,0,ESPN BET Sportsbook rebranded to theScore Bet on 2025-12-01; ESPN BET is now a content-focused brand.,2026-07-19T00:28:40-05:00,https://support.espn.com/hc/en-us/articles/19990992084116-What-is-ESPN-BET
ESPN BET,IL,2026,receiving_tds,discontinued_brand,0,0,ESPN BET Sportsbook rebranded to theScore Bet on 2025-12-01; ESPN BET is now a content-focused brand.,2026-07-19T00:28:40-05:00,https://support.espn.com/hc/en-us/articles/19990992084116-What-is-ESPN-BET
BetRivers,IL,2026,passing_yards,available,50,25,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://il.betrivers.com/?page=sportsbook&group=1000093656&type=futures
BetRivers,IL,2026,passing_tds,available,50,25,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://il.betrivers.com/?page=sportsbook&group=1000093656&type=futures
BetRivers,IL,2026,interceptions,not_posted,0,0,No wagerable market was present in the book's current 2026 season-props feed.,2026-07-19T00:28:40-05:00,https://il.betrivers.com/?page=sportsbook&group=1000093656&type=futures
BetRivers,IL,2026,rushing_yards,available,82,41,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://il.betrivers.com/?page=sportsbook&group=1000093656&type=futures
BetRivers,IL,2026,rushing_tds,available,52,26,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://il.betrivers.com/?page=sportsbook&group=1000093656&type=futures
BetRivers,IL,2026,receiving_yards,available,152,76,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://il.betrivers.com/?page=sportsbook&group=1000093656&type=futures
BetRivers,IL,2026,receptions,not_posted,0,0,No wagerable market was present in the book's current 2026 season-props feed.,2026-07-19T00:28:40-05:00,https://il.betrivers.com/?page=sportsbook&group=1000093656&type=futures
BetRivers,IL,2026,receiving_tds,available,96,48,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://il.betrivers.com/?page=sportsbook&group=1000093656&type=futures
