sportsbook,jurisdiction,season,market,status,priced_rows,player_lines,detail,retrieved_at_ct,source_url
FanDuel,IL,2026,passing_yards,available,44,22,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://sportsbook.fanduel.com/football/nfl
FanDuel,IL,2026,passing_tds,available,44,22,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://sportsbook.fanduel.com/football/nfl
FanDuel,IL,2026,interceptions,not_posted,0,0,No wagerable market was present in the book's current 2026 season-props feed.,2026-07-19T00:28:40-05:00,https://sportsbook.fanduel.com/football/nfl
FanDuel,IL,2026,rushing_yards,available,60,30,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://sportsbook.fanduel.com/football/nfl
FanDuel,IL,2026,rushing_tds,available,50,25,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://sportsbook.fanduel.com/football/nfl
FanDuel,IL,2026,receiving_yards,available,86,43,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://sportsbook.fanduel.com/football/nfl
FanDuel,IL,2026,receptions,not_posted,0,0,No wagerable market was present in the book's current 2026 season-props feed.,2026-07-19T00:28:40-05:00,https://sportsbook.fanduel.com/football/nfl
FanDuel,IL,2026,receiving_tds,not_posted,0,0,No wagerable market was present in the book's current 2026 season-props feed.,2026-07-19T00:28:40-05:00,https://sportsbook.fanduel.com/football/nfl
DraftKings,IL,2026,passing_yards,no_available_bets,0,0,Current 2026 Player Stats O/U board displayed 'No Available Bets'; no wagerable prices were returned.,2026-07-19T00:28:40-05:00,https://sportsbook.draftkings.com/leagues/football/nfl?category=countdown-%E2%8C%9B&subcategory=player-stats-o-u&nav_1=pass-yards
DraftKings,IL,2026,passing_tds,no_available_bets,0,0,Current 2026 Player Stats O/U board displayed 'No Available Bets'; no wagerable prices were returned.,2026-07-19T00:28:40-05:00,https://sportsbook.draftkings.com/leagues/football/nfl?category=countdown-%E2%8C%9B&subcategory=player-stats-o-u&nav_1=pass-yards
DraftKings,IL,2026,interceptions,no_available_bets,0,0,Current 2026 Player Stats O/U board displayed 'No Available Bets'; no wagerable prices were returned.,2026-07-19T00:28:40-05:00,https://sportsbook.draftkings.com/leagues/football/nfl?category=countdown-%E2%8C%9B&subcategory=player-stats-o-u&nav_1=pass-yards
DraftKings,IL,2026,completions,no_available_bets,0,0,Current 2026 Player Stats O/U board displayed 'No Available Bets'; no wagerable prices were returned.,2026-07-19T00:28:40-05:00,https://sportsbook.draftkings.com/leagues/football/nfl?category=countdown-%E2%8C%9B&subcategory=player-stats-o-u&nav_1=pass-yards
DraftKings,IL,2026,rushing_yards,no_available_bets,0,0,Current 2026 Player Stats O/U board displayed 'No Available Bets'; no wagerable prices were returned.,2026-07-19T00:28:40-05:00,https://sportsbook.draftkings.com/leagues/football/nfl?category=countdown-%E2%8C%9B&subcategory=player-stats-o-u&nav_1=pass-yards
DraftKings,IL,2026,rushing_tds,no_available_bets,0,0,Current 2026 Player Stats O/U board displayed 'No Available Bets'; no wagerable prices were returned.,2026-07-19T00:28:40-05:00,https://sportsbook.draftkings.com/leagues/football/nfl?category=countdown-%E2%8C%9B&subcategory=player-stats-o-u&nav_1=pass-yards
DraftKings,IL,2026,receiving_yards,no_available_bets,0,0,Current 2026 Player Stats O/U board displayed 'No Available Bets'; no wagerable prices were returned.,2026-07-19T00:28:40-05:00,https://sportsbook.draftkings.com/leagues/football/nfl?category=countdown-%E2%8C%9B&subcategory=player-stats-o-u&nav_1=pass-yards
DraftKings,IL,2026,receptions,no_available_bets,0,0,Current 2026 Player Stats O/U board displayed 'No Available Bets'; no wagerable prices were returned.,2026-07-19T00:28:40-05:00,https://sportsbook.draftkings.com/leagues/football/nfl?category=countdown-%E2%8C%9B&subcategory=player-stats-o-u&nav_1=pass-yards
DraftKings,IL,2026,receiving_tds,no_available_bets,0,0,Current 2026 Player Stats O/U board displayed 'No Available Bets'; no wagerable prices were returned.,2026-07-19T00:28:40-05:00,https://sportsbook.draftkings.com/leagues/football/nfl?category=countdown-%E2%8C%9B&subcategory=player-stats-o-u&nav_1=pass-yards
BetMGM,IL,2026,passing_yards,available,50,25,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://www.il.betmgm.com/en/sports/football-11/betting/usa-9/nfl-35
BetMGM,IL,2026,passing_tds,available,50,25,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://www.il.betmgm.com/en/sports/football-11/betting/usa-9/nfl-35
BetMGM,IL,2026,interceptions,not_posted,0,0,No wagerable market was present in the book's current 2026 season-props feed.,2026-07-19T00:28:40-05:00,https://www.il.betmgm.com/en/sports/football-11/betting/usa-9/nfl-35
BetMGM,IL,2026,rushing_yards,available,68,34,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://www.il.betmgm.com/en/sports/football-11/betting/usa-9/nfl-35
BetMGM,IL,2026,rushing_tds,available,74,37,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://www.il.betmgm.com/en/sports/football-11/betting/usa-9/nfl-35
BetMGM,IL,2026,receiving_yards,available,82,41,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://www.il.betmgm.com/en/sports/football-11/betting/usa-9/nfl-35
BetMGM,IL,2026,receptions,not_posted,0,0,No wagerable market was present in the book's current 2026 season-props feed.,2026-07-19T00:28:40-05:00,https://www.il.betmgm.com/en/sports/football-11/betting/usa-9/nfl-35
BetMGM,IL,2026,receiving_tds,available,124,62,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://www.il.betmgm.com/en/sports/football-11/betting/usa-9/nfl-35
Caesars,IL,2026,passing_yards,available,52,26,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://sportsbook.caesars.com/us/il/bet/americanfootball/events/all
Caesars,IL,2026,passing_tds,available,52,26,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://sportsbook.caesars.com/us/il/bet/americanfootball/events/all
Caesars,IL,2026,interceptions,not_posted,0,0,No wagerable market was present in the book's current 2026 season-props feed.,2026-07-19T00:28:40-05:00,https://sportsbook.caesars.com/us/il/bet/americanfootball/events/all
Caesars,IL,2026,rushing_yards,available,90,45,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://sportsbook.caesars.com/us/il/bet/americanfootball/events/all
Caesars,IL,2026,rushing_tds,available,80,40,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://sportsbook.caesars.com/us/il/bet/americanfootball/events/all
Caesars,IL,2026,receiving_yards,available,186,93,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://sportsbook.caesars.com/us/il/bet/americanfootball/events/all
Caesars,IL,2026,receptions,available,12,6,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://sportsbook.caesars.com/us/il/bet/americanfootball/events/all
Caesars,IL,2026,receiving_tds,available,124,62,Wagerable Over/Under offers captured from the official sportsbook feed.,2026-07-19T00:28:40-05:00,https://sportsbook.caesars.com/us/il/bet/americanfootball/events/all
bet365,IL,2026,passing_yards,blocked_by_site,0,0,"Cloudflare blocked this collection environment, so current live offers could not be verified.",2026-07-19T00:28:40-05:00,https://www.bet365.com/
bet365,IL,2026,passing_tds,blocked_by_site,0,0,"Cloudflare blocked this collection environment, so current live offers could not be verified.",2026-07-19T00:28:40-05:00,https://www.bet365.com/
bet365,IL,2026,interceptions,blocked_by_site,0,0,"Cloudflare blocked this collection environment, so current live offers could not be verified.",2026-07-19T00:28:40-05:00,https://www.bet365.com/
bet365,IL,2026,rushing_yards,blocked_by_site,0,0,"Cloudflare blocked this collection environment, so current live offers could not be verified.",2026-07-19T00:28:40-05:00,https://www.bet365.com/
bet365,IL,2026,rushing_tds,blocked_by_site,0,0,"Cloudflare blocked this collection environment, so current live offers could not be verified.",2026-07-19T00:28:40-05:00,https://www.bet365.com/
bet365,IL,2026,receiving_yards,blocked_by_site,0,0,"Cloudflare blocked this collection environment, so current live offers could not be verified.",2026-07-19T00:28:40-05:00,https://www.bet365.com/
bet365,IL,2026,receptions,blocked_by_site,0,0,"Cloudflare blocked this collection environment, so current live offers could not be verified.",2026-07-19T00:28:40-05:00,https://www.bet365.com/
bet365,IL,2026,receiving_tds,blocked_by_site,0,0,"Cloudflare blocked this collection environment, so current live offers could not be verified.",2026-07-19T00:28:40-05:00,https://www.bet365.com/
Fanatics Sportsbook,IL,2026,passing_yards,app_only_not_scraped,0,0,No official desktop sportsbook odds board was available; the official product directs sportsbook betting to its mobile app.,2026-07-19T00:28:40-05:00,https://www.fanaticsinc.com/fanatics-sportsbook-online-experience
Fanatics Sportsbook,IL,2026,passing_tds,app_only_not_scraped,0,0,No official desktop sportsbook odds board was available; the official product directs sportsbook betting to its mobile app.,2026-07-19T00:28:40-05:00,https://www.fanaticsinc.com/fanatics-sportsbook-online-experience
Fanatics Sportsbook,IL,2026,interceptions,app_only_not_scraped,0,0,No official desktop sportsbook odds board was available; the official product directs sportsbook betting to its mobile app.,2026-07-19T00:28:40-05:00,https://www.fanaticsinc.com/fanatics-sportsbook-online-experience
Fanatics Sportsbook,IL,2026,rushing_yards,app_only_not_scraped,0,0,No official desktop sportsbook odds board was available; the official product directs sportsbook betting to its mobile app.,2026-07-19T00:28:40-05:00,https://www.fanaticsinc.com/fanatics-sportsbook-online-experience
Fanatics Sportsbook,IL,2026,rushing_tds,app_only_not_scraped,0,0,No official desktop sportsbook odds board was available; the official product directs sportsbook betting to its mobile app.,2026-07-19T00:28:40-05:00,https://www.fanaticsinc.com/fanatics-sportsbook-online-experience
Fanatics Sportsbook,IL,2026,receiving_yards,app_only_not_scraped,0,0,No official desktop sportsbook odds board was available; the official product directs sportsbook betting to its mobile app.,2026-07-19T00:28:40-05:00,https://www.fanaticsinc.com/fanatics-sportsbook-online-experience
Fanatics Sportsbook,IL,2026,receptions,app_only_not_scraped,0,0,No official desktop sportsbook odds board was available; the official product directs sportsbook betting to its mobile app.,2026-07-19T00:28:40-05:00,https://www.fanaticsinc.com/fanatics-sportsbook-online-experience
Fanatics Sportsbook,IL,2026,receiving_tds,app_only_not_scraped,0,0,No official desktop sportsbook odds board was available; the official product directs sportsbook betting to its mobile app.,2026-07-19T00:28:40-05:00,https://www.fanaticsinc.com/fanatics-sportsbook-online-experience
ESPN BET,IL,2026,passing_yards,discontinued_brand,0,0,ESPN BET Sportsbook rebranded to theScore Bet on 2025-12-01; ESPN BET is now a content-focused brand.,2026-07-19T00:28:40-05:00,https://support.espn.com/hc/en-us/articles/19990992084116-What-is-ESPN-BET
ESPN BET,IL,2026,passing_tds,discontinued_brand,0,0,ESPN BET Sportsbook rebranded to theScore Bet on 2025-12-01; ESPN BET is now a content-focused brand.,2026-07-19T00:28:40-05:00,https://support.espn.com/hc/en-us/articles/19990992084116-What-is-ESPN-BET
ESPN BET,IL,2026,interceptions,discontinued_brand,0,0,ESPN BET Sportsbook rebranded to theScore Bet on 2025-12-01; ESPN BET is now a content-focused brand.,2026-07-19T00:28:40-05:00,https://support.espn.com/hc/en-us/articles/19990992084116-What-is-ESPN-BET
ESPN BET,IL,2026,rushing_yards,discontinued_brand,0,0,ESPN BET Sportsbook rebranded to theScore Bet on 2025-12-01; ESPN BET is now a content-focused brand.,2026-07-19T00:28:40-05:00,https://support.espn.com/hc/en-us/articles/19990992084116-What-is-ESPN-BET
