sportsbook,jurisdiction,season,player,source_player,market,line,side,american_odds,decimal_odds,retrieved_at_ct,market_id,selection_id,source_url,source_line,source_american_odds,source_decimal_odds,source_market_id,source_selection_id,source_lines_used,source_odds_used,no_vig_probability_at_source_line,source_overround,logit_probability_at_source_line,logistic_scale,scale_ratio,line_adjustment,normalization_method
BetMGM,IL,2026,Aaron Rodgers,Aaron Rodgers,passing_tds,20.891522,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://cf-us3-cds-api.itsfogo.com/bettingoffer/fixture-view?x-bwin-accessid=ZTg4YWEwMTgtZTlhYy00MWRkLWIzYWYtZjMzODI5ZDE0Mjc5&lang=en-us&country=US&usercountry=US&state=Latest&fixtureIds=19070789&offerMapping=All&scoreboardMode=Full,20.5,-115,1.87,1527820807,2212596486,20.5,Over -115|Under -105,0.510834236,1.047078843,0.043343729,9.032964979,0.440632438019,0.391522388,paired_two_way_proportional_devig_logistic
BetMGM,IL,2026,Aaron Rodgers,Aaron Rodgers,passing_tds,20.891522,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://cf-us3-cds-api.itsfogo.com/bettingoffer/fixture-view?x-bwin-accessid=ZTg4YWEwMTgtZTlhYy00MWRkLWIzYWYtZjMzODI5ZDE0Mjc5&lang=en-us&country=US&usercountry=US&state=Latest&fixtureIds=19070789&offerMapping=All&scoreboardMode=Full,20.5,-105,1.95,1527820807,2212596487,20.5,Over -115|Under -105,0.489165764,1.047078843,-0.043343729,9.032964979,0.440632438019,0.391522388,paired_two_way_proportional_devig_logistic
BetRivers,IL,2026,Aaron Rodgers,Aaron Rodgers,passing_tds,20.5,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://il.betrivers.com/api/service/sportsbook/offering/listview/filtered/events?cageCode=847,20.5,-110,1.91,2650886034,4199395120,20.5,Over -110|Under -110,0.5,1.047619048,0,9.032964979,0.440632438019,0,paired_two_way_proportional_devig_logistic
BetRivers,IL,2026,Aaron Rodgers,Aaron Rodgers,passing_tds,20.5,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://il.betrivers.com/api/service/sportsbook/offering/listview/filtered/events?cageCode=847,20.5,-110,1.91,2650886034,4199395123,20.5,Over -110|Under -110,0.5,1.047619048,0,9.032964979,0.440632438019,0,paired_two_way_proportional_devig_logistic
Caesars,IL,2026,Aaron Rodgers,Aaron Rodgers,passing_tds,20.865757,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://api.americanwagering.com/regions/us/locations/il/brands/czr/sb/v4/sports/americanfootball/tabs/FUTURE_BETS%7CPlayer%20Futures,20.5,-120,1.83,85a4bf8d-68fe-371f-940c-2a67f65e84a7,f20a98e4-c5b7-3664-b142-d3d40ff47962,20.5,Over -120|Under -110,0.510121457,1.069264069,0.040491361,9.032964979,0.440632438019,0.365757049,paired_two_way_proportional_devig_logistic
Caesars,IL,2026,Aaron Rodgers,Aaron Rodgers,passing_tds,20.865757,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://api.americanwagering.com/regions/us/locations/il/brands/czr/sb/v4/sports/americanfootball/tabs/FUTURE_BETS%7CPlayer%20Futures,20.5,-110,1.91,85a4bf8d-68fe-371f-940c-2a67f65e84a7,abff7e6f-f62a-3741-a118-5eb76f6a963f,20.5,Over -120|Under -110,0.489878543,1.069264069,-0.040491361,9.032964979,0.440632438019,0.365757049,paired_two_way_proportional_devig_logistic
DraftKings,IL,2026,Aaron Rodgers,Aaron Rodgers,passing_tds,22.324311,Over,-110,1.90909090909091,2026-07-21T18:13:01-05:00,,,https://sportsbook.draftkings.com/leagues/football/nfl,21.5,-120,1.8333333333333335,,,21.5,Over -120|Under 100,0.52173913,1.045454545,0.087011377,9.473597417,0.440632438019,0.824310756,paired_two_way_proportional_devig_logistic
DraftKings,IL,2026,Aaron Rodgers,Aaron Rodgers,passing_tds,22.324311,Under,-110,1.90909090909091,2026-07-21T18:13:01-05:00,,,https://sportsbook.draftkings.com/leagues/football/nfl,21.5,100,2.0,,,21.5,Over -120|Under 100,0.47826087,1.045454545,-0.087011377,9.473597417,0.440632438019,0.824310756,paired_two_way_proportional_devig_logistic
bet365,IL,2026,Aaron Rodgers,Aaron Rodgers,passing_tds,20.891522,Over,-110,1.90909090909091,2026-07-21T18:39:04-05:00,,,https://www.bet365.com/,20.5,-115,1.8695652173913042,,,20.5,Over -115|Under -105,0.510834236,1.047078843,0.043343729,9.032964979,0.440632438019,0.391522388,paired_two_way_proportional_devig_logistic
bet365,IL,2026,Aaron Rodgers,Aaron Rodgers,passing_tds,20.891522,Under,-110,1.90909090909091,2026-07-21T18:39:04-05:00,,,https://www.bet365.com/,20.5,-105,1.9523809523809523,,,20.5,Over -115|Under -105,0.489165764,1.047078843,-0.043343729,9.032964979,0.440632438019,0.391522388,paired_two_way_proportional_devig_logistic
