sportsbook,jurisdiction,season,player,source_player,market,line,side,american_odds,decimal_odds,retrieved_at_ct,market_id,selection_id,source_url,source_line,source_american_odds,source_decimal_odds,source_market_id,source_selection_id,source_lines_used,source_odds_used,no_vig_probability_at_source_line,source_overround,logit_probability_at_source_line,logistic_scale,scale_ratio,line_adjustment,normalization_method
BetMGM,IL,2026,Baker Mayfield,Baker Mayfield,passing_tds,25.012984,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://cf-us3-cds-api.itsfogo.com/bettingoffer/fixture-view?x-bwin-accessid=ZTg4YWEwMTgtZTlhYy00MWRkLWIzYWYtZjMzODI5ZDE0Mjc5&lang=en-us&country=US&usercountry=US&state=Latest&fixtureIds=19070789&offerMapping=All&scoreboardMode=Full,25.5,-105,1.95,1527820819,2212596510,25.5,Over -105|Under -115,0.489165764,1.047078843,-0.043343729,11.236127169,0.440632438019,-0.487015653,paired_two_way_proportional_devig_logistic
BetMGM,IL,2026,Baker Mayfield,Baker Mayfield,passing_tds,25.012984,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://cf-us3-cds-api.itsfogo.com/bettingoffer/fixture-view?x-bwin-accessid=ZTg4YWEwMTgtZTlhYy00MWRkLWIzYWYtZjMzODI5ZDE0Mjc5&lang=en-us&country=US&usercountry=US&state=Latest&fixtureIds=19070789&offerMapping=All&scoreboardMode=Full,25.5,-115,1.87,1527820819,2212596511,25.5,Over -105|Under -115,0.510834236,1.047078843,0.043343729,11.236127169,0.440632438019,-0.487015653,paired_two_way_proportional_devig_logistic
BetRivers,IL,2026,Baker Mayfield,Baker Mayfield,passing_tds,24.48004,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://il.betrivers.com/api/service/sportsbook/offering/listview/filtered/events?cageCode=847,25.5,100,2.0,2650886025,4199395104,25.5,Over 100|Under -121,0.477321814,1.047511312,-0.090775025,11.236127169,0.440632438019,-1.019959721,paired_two_way_proportional_devig_logistic
BetRivers,IL,2026,Baker Mayfield,Baker Mayfield,passing_tds,24.48004,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://il.betrivers.com/api/service/sportsbook/offering/listview/filtered/events?cageCode=847,25.5,-121,1.83,2650886025,4199395105,25.5,Over 100|Under -121,0.522678186,1.047511312,0.090775025,11.236127169,0.440632438019,-1.019959721,paired_two_way_proportional_devig_logistic
Caesars,IL,2026,Baker Mayfield,Baker Mayfield,passing_tds,23.176447,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://api.americanwagering.com/regions/us/locations/il/brands/czr/sb/v4/sports/americanfootball/tabs/FUTURE_BETS%7CPlayer%20Futures,24.5,100,2.0,a27b158c-f3de-3a84-817b-6bc138ca39ee,58c1bd57-b293-37d1-9574-ecd0686ac8a4,24.5,Over 100|Under -130,0.469387755,1.065217391,-0.122602322,10.795494731,0.440632438019,-1.323552722,paired_two_way_proportional_devig_logistic
Caesars,IL,2026,Baker Mayfield,Baker Mayfield,passing_tds,23.176447,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://api.americanwagering.com/regions/us/locations/il/brands/czr/sb/v4/sports/americanfootball/tabs/FUTURE_BETS%7CPlayer%20Futures,24.5,-130,1.77,a27b158c-f3de-3a84-817b-6bc138ca39ee,d69f39c3-807f-3625-9dfc-186bf22c1cfd,24.5,Over 100|Under -130,0.530612245,1.065217391,0.122602322,10.795494731,0.440632438019,-1.323552722,paired_two_way_proportional_devig_logistic
DraftKings,IL,2026,Baker Mayfield,Baker Mayfield,passing_tds,23.574212,Over,-110,1.90909090909091,2026-07-21T18:13:01-05:00,,,https://sportsbook.draftkings.com/leagues/football/nfl,25.5,110,2.1,,,25.5,Over 110|Under -130,0.457256461,1.041407867,-0.171392486,11.236127169,0.440632438019,-1.925787772,paired_two_way_proportional_devig_logistic
DraftKings,IL,2026,Baker Mayfield,Baker Mayfield,passing_tds,23.574212,Under,-110,1.90909090909091,2026-07-21T18:13:01-05:00,,,https://sportsbook.draftkings.com/leagues/football/nfl,25.5,-130,1.7692307692307692,,,25.5,Over 110|Under -130,0.542743539,1.041407867,0.171392486,11.236127169,0.440632438019,-1.925787772,paired_two_way_proportional_devig_logistic
FanDuel,IL,2026,Baker Mayfield,Baker Mayfield,passing_tds,24.233126,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://sbapi.il.sportsbook.fanduel.com/api/content-managed-page?page=CUSTOM&customPageId=nfl&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx,25.5,-102,1.980392156862745,717.169100404,98497169,25.5,Over -102|Under -130,0.471842317,1.070167886,-0.112750026,11.236127169,0.440632438019,-1.266873627,paired_two_way_proportional_devig_logistic
FanDuel,IL,2026,Baker Mayfield,Baker Mayfield,passing_tds,24.233126,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://sbapi.il.sportsbook.fanduel.com/api/content-managed-page?page=CUSTOM&customPageId=nfl&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx,25.5,-130,1.769230769230769,717.169100404,98497170,25.5,Over -102|Under -130,0.528157683,1.070167886,0.112750026,11.236127169,0.440632438019,-1.266873627,paired_two_way_proportional_devig_logistic
bet365,IL,2026,Baker Mayfield,Baker Mayfield,passing_tds,24.122425,Over,-110,1.90909090909091,2026-07-21T18:39:04-05:00,,,https://www.bet365.com/,25.5,100,2.0,,,25.5,Over 100|Under -130,0.469387755,1.065217391,-0.122602322,11.236127169,0.440632438019,-1.377575282,paired_two_way_proportional_devig_logistic
bet365,IL,2026,Baker Mayfield,Baker Mayfield,passing_tds,24.122425,Under,-110,1.90909090909091,2026-07-21T18:39:04-05:00,,,https://www.bet365.com/,25.5,-130,1.7692307692307692,,,25.5,Over 100|Under -130,0.530612245,1.065217391,0.122602322,11.236127169,0.440632438019,-1.377575282,paired_two_way_proportional_devig_logistic
BetMGM,IL,2026,Bo Nix,Bo Nix,passing_tds,23.749881,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://cf-us3-cds-api.itsfogo.com/bettingoffer/fixture-view?x-bwin-accessid=ZTg4YWEwMTgtZTlhYy00MWRkLWIzYWYtZjMzODI5ZDE0Mjc5&lang=en-us&country=US&usercountry=US&state=Latest&fixtureIds=19070789&offerMapping=All&scoreboardMode=Full,24.5,-102,1.98,1527820812,2212596496,24.5,Over -102|Under -118,0.482635874,1.046234899,-0.069484446,10.795494731,0.440632438019,-0.750118968,paired_two_way_proportional_devig_logistic
BetMGM,IL,2026,Bo Nix,Bo Nix,passing_tds,23.749881,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://cf-us3-cds-api.itsfogo.com/bettingoffer/fixture-view?x-bwin-accessid=ZTg4YWEwMTgtZTlhYy00MWRkLWIzYWYtZjMzODI5ZDE0Mjc5&lang=en-us&country=US&usercountry=US&state=Latest&fixtureIds=19070789&offerMapping=All&scoreboardMode=Full,24.5,-118,1.85,1527820812,2212596497,24.5,Over -102|Under -118,0.517364126,1.046234899,0.069484446,10.795494731,0.440632438019,-0.750118968,paired_two_way_proportional_devig_logistic
BetRivers,IL,2026,Bo Nix,Bo Nix,passing_tds,24.081878,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://il.betrivers.com/api/service/sportsbook/offering/listview/filtered/events?cageCode=847,24.5,-106,1.95,2650886036,4199395126,24.5,Over -106|Under -115,0.490318417,1.049446828,-0.038731175,10.795494731,0.440632438019,-0.418122195,paired_two_way_proportional_devig_logistic
BetRivers,IL,2026,Bo Nix,Bo Nix,passing_tds,24.081878,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://il.betrivers.com/api/service/sportsbook/offering/listview/filtered/events?cageCode=847,24.5,-115,1.87,2650886036,4199395127,24.5,Over -106|Under -115,0.509681583,1.049446828,0.038731175,10.795494731,0.440632438019,-0.418122195,paired_two_way_proportional_devig_logistic
Caesars,IL,2026,Bo Nix,Bo Nix,passing_tds,23.176447,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://api.americanwagering.com/regions/us/locations/il/brands/czr/sb/v4/sports/americanfootball/tabs/FUTURE_BETS%7CPlayer%20Futures,24.5,100,2.0,4ee366a1-eae1-3f48-b7b9-c5396bcac724,8ff19a26-7667-3cf6-b216-6a06c88f8ab8,24.5,Over 100|Under -130,0.469387755,1.065217391,-0.122602322,10.795494731,0.440632438019,-1.323552722,paired_two_way_proportional_devig_logistic
Caesars,IL,2026,Bo Nix,Bo Nix,passing_tds,23.176447,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://api.americanwagering.com/regions/us/locations/il/brands/czr/sb/v4/sports/americanfootball/tabs/FUTURE_BETS%7CPlayer%20Futures,24.5,-130,1.77,4ee366a1-eae1-3f48-b7b9-c5396bcac724,f0cded87-8b03-33ea-9921-ff673cf97b7c,24.5,Over 100|Under -130,0.530612245,1.065217391,0.122602322,10.795494731,0.440632438019,-1.323552722,paired_two_way_proportional_devig_logistic
DraftKings,IL,2026,Bo Nix,Bo Nix,passing_tds,24.032083,Over,-110,1.90909090909091,2026-07-21T18:13:01-05:00,,,https://sportsbook.draftkings.com/leagues/football/nfl,24.5,-105,1.9523809523809523,,,24.5,Over -105|Under -115,0.489165764,1.047078843,-0.043343729,10.795494731,0.440632438019,-0.467917,paired_two_way_proportional_devig_logistic
DraftKings,IL,2026,Bo Nix,Bo Nix,passing_tds,24.032083,Under,-110,1.90909090909091,2026-07-21T18:13:01-05:00,,,https://sportsbook.draftkings.com/leagues/football/nfl,24.5,-115,1.8695652173913042,,,24.5,Over -105|Under -115,0.510834236,1.047078843,0.043343729,10.795494731,0.440632438019,-0.467917,paired_two_way_proportional_devig_logistic
bet365,IL,2026,Bo Nix,Bo Nix,passing_tds,24.032083,Over,-110,1.90909090909091,2026-07-21T18:39:04-05:00,,,https://www.bet365.com/,24.5,-105,1.9523809523809523,,,24.5,Over -105|Under -115,0.489165764,1.047078843,-0.043343729,10.795494731,0.440632438019,-0.467917,paired_two_way_proportional_devig_logistic
bet365,IL,2026,Bo Nix,Bo Nix,passing_tds,24.032083,Under,-110,1.90909090909091,2026-07-21T18:39:04-05:00,,,https://www.bet365.com/,24.5,-115,1.8695652173913042,,,24.5,Over -105|Under -115,0.510834236,1.047078843,0.043343729,10.795494731,0.440632438019,-0.467917,paired_two_way_proportional_devig_logistic
BetMGM,IL,2026,Brock Purdy,Brock Purdy,passing_tds,28.025213,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://cf-us3-cds-api.itsfogo.com/bettingoffer/fixture-view?x-bwin-accessid=ZTg4YWEwMTgtZTlhYy00MWRkLWIzYWYtZjMzODI5ZDE0Mjc5&lang=en-us&country=US&usercountry=US&state=Latest&fixtureIds=19070789&offerMapping=All&scoreboardMode=Full,27.5,-115,1.87,1527820821,2212596514,27.5,Over -115|Under -105,0.510834236,1.047078843,0.043343729,12.117392046,0.440632438019,0.52521296,paired_two_way_proportional_devig_logistic
BetMGM,IL,2026,Brock Purdy,Brock Purdy,passing_tds,28.025213,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://cf-us3-cds-api.itsfogo.com/bettingoffer/fixture-view?x-bwin-accessid=ZTg4YWEwMTgtZTlhYy00MWRkLWIzYWYtZjMzODI5ZDE0Mjc5&lang=en-us&country=US&usercountry=US&state=Latest&fixtureIds=19070789&offerMapping=All&scoreboardMode=Full,27.5,-105,1.95,1527820821,2212596515,27.5,Over -115|Under -105,0.489165764,1.047078843,-0.043343729,12.117392046,0.440632438019,0.52521296,paired_two_way_proportional_devig_logistic
BetRivers,IL,2026,Brock Purdy,Brock Purdy,passing_tds,27.5,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://il.betrivers.com/api/service/sportsbook/offering/listview/filtered/events?cageCode=847,27.5,-110,1.91,2650886031,4199395114,27.5,Over -110|Under -110,0.5,1.047619048,0,12.117392046,0.440632438019,0,paired_two_way_proportional_devig_logistic
BetRivers,IL,2026,Brock Purdy,Brock Purdy,passing_tds,27.5,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://il.betrivers.com/api/service/sportsbook/offering/listview/filtered/events?cageCode=847,27.5,-110,1.91,2650886031,4199395118,27.5,Over -110|Under -110,0.5,1.047619048,0,12.117392046,0.440632438019,0,paired_two_way_proportional_devig_logistic
Caesars,IL,2026,Brock Purdy,Brock Purdy,passing_tds,27.337433,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://api.americanwagering.com/regions/us/locations/il/brands/czr/sb/v4/sports/americanfootball/tabs/FUTURE_BETS%7CPlayer%20Futures,25.5,-135,1.74074,0ce850a6-97c2-3082-b600-9cbcf673bc43,fcc0c206-802d-305a-b06d-77489969a26d,25.5,Over -135|Under 105,0.540791402,1.062272963,0.163529057,11.236127169,0.440632438019,1.837433285,paired_two_way_proportional_devig_logistic
Caesars,IL,2026,Brock Purdy,Brock Purdy,passing_tds,27.337433,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://api.americanwagering.com/regions/us/locations/il/brands/czr/sb/v4/sports/americanfootball/tabs/FUTURE_BETS%7CPlayer%20Futures,25.5,105,2.05,0ce850a6-97c2-3082-b600-9cbcf673bc43,f6059237-c351-3abd-88bc-eb8fc6368aac,25.5,Over -135|Under 105,0.459208598,1.062272963,-0.163529057,11.236127169,0.440632438019,1.837433285,paired_two_way_proportional_devig_logistic
DraftKings,IL,2026,Brock Purdy,Brock Purdy,passing_tds,27.5,Over,-110,1.90909090909091,2026-07-21T18:13:01-05:00,,,https://sportsbook.draftkings.com/leagues/football/nfl,27.5,-110,1.9090909090909092,,,27.5,Over -110|Under -110,0.5,1.047619048,0,12.117392046,0.440632438019,0,paired_two_way_proportional_devig_logistic
DraftKings,IL,2026,Brock Purdy,Brock Purdy,passing_tds,27.5,Under,-110,1.90909090909091,2026-07-21T18:13:01-05:00,,,https://sportsbook.draftkings.com/leagues/football/nfl,27.5,-110,1.9090909090909092,,,27.5,Over -110|Under -110,0.5,1.047619048,0,12.117392046,0.440632438019,0,paired_two_way_proportional_devig_logistic
FanDuel,IL,2026,Brock Purdy,Brock Purdy,passing_tds,27.5,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://sbapi.il.sportsbook.fanduel.com/api/content-managed-page?page=CUSTOM&customPageId=nfl&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx,27.5,-114,1.87719298245614,717.169092237,98496714,27.5,Over -114|Under -114,0.5,1.065420561,0,12.117392046,0.440632438019,0,paired_two_way_proportional_devig_logistic
FanDuel,IL,2026,Brock Purdy,Brock Purdy,passing_tds,27.5,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://sbapi.il.sportsbook.fanduel.com/api/content-managed-page?page=CUSTOM&customPageId=nfl&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx,27.5,-114,1.87719298245614,717.169092237,98496713,27.5,Over -114|Under -114,0.5,1.065420561,0,12.117392046,0.440632438019,0,paired_two_way_proportional_devig_logistic
bet365,IL,2026,Brock Purdy,Brock Purdy,passing_tds,28.025213,Over,-110,1.90909090909091,2026-07-21T18:39:04-05:00,,,https://www.bet365.com/,27.5,-115,1.8695652173913042,,,27.5,Over -115|Under -105,0.510834236,1.047078843,0.043343729,12.117392046,0.440632438019,0.52521296,paired_two_way_proportional_devig_logistic
bet365,IL,2026,Brock Purdy,Brock Purdy,passing_tds,28.025213,Under,-110,1.90909090909091,2026-07-21T18:39:04-05:00,,,https://www.bet365.com/,27.5,-105,1.9523809523809523,,,27.5,Over -115|Under -105,0.489165764,1.047078843,-0.043343729,12.117392046,0.440632438019,0.52521296,paired_two_way_proportional_devig_logistic
BetMGM,IL,2026,Bryce Young,Bryce Young,passing_tds,20.108478,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://cf-us3-cds-api.itsfogo.com/bettingoffer/fixture-view?x-bwin-accessid=ZTg4YWEwMTgtZTlhYy00MWRkLWIzYWYtZjMzODI5ZDE0Mjc5&lang=en-us&country=US&usercountry=US&state=Latest&fixtureIds=19070789&offerMapping=All&scoreboardMode=Full,20.5,-105,1.95,1527820806,2212596484,20.5,Over -105|Under -115,0.489165764,1.047078843,-0.043343729,9.032964979,0.440632438019,-0.391522388,paired_two_way_proportional_devig_logistic
BetMGM,IL,2026,Bryce Young,Bryce Young,passing_tds,20.108478,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://cf-us3-cds-api.itsfogo.com/bettingoffer/fixture-view?x-bwin-accessid=ZTg4YWEwMTgtZTlhYy00MWRkLWIzYWYtZjMzODI5ZDE0Mjc5&lang=en-us&country=US&usercountry=US&state=Latest&fixtureIds=19070789&offerMapping=All&scoreboardMode=Full,20.5,-115,1.87,1527820806,2212596485,20.5,Over -105|Under -115,0.510834236,1.047078843,0.043343729,9.032964979,0.440632438019,-0.391522388,paired_two_way_proportional_devig_logistic
BetRivers,IL,2026,Bryce Young,Bryce Young,passing_tds,20.5,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://il.betrivers.com/api/service/sportsbook/offering/listview/filtered/events?cageCode=847,20.5,-110,1.91,2650886015,4199395083,20.5,Over -110|Under -110,0.5,1.047619048,0,9.032964979,0.440632438019,0,paired_two_way_proportional_devig_logistic
BetRivers,IL,2026,Bryce Young,Bryce Young,passing_tds,20.5,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://il.betrivers.com/api/service/sportsbook/offering/listview/filtered/events?cageCode=847,20.5,-110,1.91,2650886015,4199395084,20.5,Over -110|Under -110,0.5,1.047619048,0,9.032964979,0.440632438019,0,paired_two_way_proportional_devig_logistic
Caesars,IL,2026,Bryce Young,Bryce Young,passing_tds,20.5,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://api.americanwagering.com/regions/us/locations/il/brands/czr/sb/v4/sports/americanfootball/tabs/FUTURE_BETS%7CPlayer%20Futures,20.5,-115,1.86957,9f277d22-46aa-3f96-9aa0-9b0f74586950,7b05906e-1fc4-36a1-8de0-650c56beb3b9,20.5,Over -115|Under -115,0.5,1.069767442,0,9.032964979,0.440632438019,0,paired_two_way_proportional_devig_logistic
Caesars,IL,2026,Bryce Young,Bryce Young,passing_tds,20.5,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://api.americanwagering.com/regions/us/locations/il/brands/czr/sb/v4/sports/americanfootball/tabs/FUTURE_BETS%7CPlayer%20Futures,20.5,-115,1.86957,9f277d22-46aa-3f96-9aa0-9b0f74586950,2915233e-9a03-3371-b862-eb350168e55a,20.5,Over -115|Under -115,0.5,1.069767442,0,9.032964979,0.440632438019,0,paired_two_way_proportional_devig_logistic
DraftKings,IL,2026,Bryce Young,Bryce Young,passing_tds,20.5,Over,-110,1.90909090909091,2026-07-21T18:13:01-05:00,,,https://sportsbook.draftkings.com/leagues/football/nfl,20.5,-110,1.9090909090909092,,,20.5,Over -110|Under -110,0.5,1.047619048,0,9.032964979,0.440632438019,0,paired_two_way_proportional_devig_logistic
DraftKings,IL,2026,Bryce Young,Bryce Young,passing_tds,20.5,Under,-110,1.90909090909091,2026-07-21T18:13:01-05:00,,,https://sportsbook.draftkings.com/leagues/football/nfl,20.5,-110,1.9090909090909092,,,20.5,Over -110|Under -110,0.5,1.047619048,0,9.032964979,0.440632438019,0,paired_two_way_proportional_devig_logistic
FanDuel,IL,2026,Bryce Young,Bryce Young,passing_tds,20.5,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://sbapi.il.sportsbook.fanduel.com/api/content-managed-page?page=CUSTOM&customPageId=nfl&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx,20.5,-114,1.87719298245614,717.169102962,98506671,20.5,Over -114|Under -114,0.5,1.065420561,0,9.032964979,0.440632438019,0,paired_two_way_proportional_devig_logistic
FanDuel,IL,2026,Bryce Young,Bryce Young,passing_tds,20.5,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://sbapi.il.sportsbook.fanduel.com/api/content-managed-page?page=CUSTOM&customPageId=nfl&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx,20.5,-114,1.87719298245614,717.169102962,98506672,20.5,Over -114|Under -114,0.5,1.065420561,0,9.032964979,0.440632438019,0,paired_two_way_proportional_devig_logistic
bet365,IL,2026,Bryce Young,Bryce Young,passing_tds,20.5,Over,-110,1.90909090909091,2026-07-21T18:39:04-05:00,,,https://www.bet365.com/,20.5,-110,1.9090909090909092,,,20.5,Over -110|Under -110,0.5,1.047619048,0,9.032964979,0.440632438019,0,paired_two_way_proportional_devig_logistic
bet365,IL,2026,Bryce Young,Bryce Young,passing_tds,20.5,Under,-110,1.90909090909091,2026-07-21T18:39:04-05:00,,,https://www.bet365.com/,20.5,-110,1.9090909090909092,,,20.5,Over -110|Under -110,0.5,1.047619048,0,9.032964979,0.440632438019,0,paired_two_way_proportional_devig_logistic
BetMGM,IL,2026,C.J. Stroud,C.J. Stroud,passing_tds,23.188885,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://cf-us3-cds-api.itsfogo.com/bettingoffer/fixture-view?x-bwin-accessid=ZTg4YWEwMTgtZTlhYy00MWRkLWIzYWYtZjMzODI5ZDE0Mjc5&lang=en-us&country=US&usercountry=US&state=Latest&fixtureIds=19070789&offerMapping=All&scoreboardMode=Full,22.5,-118,1.85,1527820809,2212596490,22.5,Over -118|Under -102,0.517364126,1.046234899,0.069484446,9.914229855,0.440632438019,0.688884767,paired_two_way_proportional_devig_logistic
BetMGM,IL,2026,C.J. Stroud,C.J. Stroud,passing_tds,23.188885,Under,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://cf-us3-cds-api.itsfogo.com/bettingoffer/fixture-view?x-bwin-accessid=ZTg4YWEwMTgtZTlhYy00MWRkLWIzYWYtZjMzODI5ZDE0Mjc5&lang=en-us&country=US&usercountry=US&state=Latest&fixtureIds=19070789&offerMapping=All&scoreboardMode=Full,22.5,-102,1.98,1527820809,2212596491,22.5,Over -118|Under -102,0.482635874,1.046234899,-0.069484446,9.914229855,0.440632438019,0.688884767,paired_two_way_proportional_devig_logistic
BetRivers,IL,2026,C.J. Stroud,C.J. Stroud,passing_tds,22.5,Over,-110,1.90909090909091,2026-07-19T00:28:40-05:00,,,https://il.betrivers.com/api/service/sportsbook/offering/listview/filtered/events?cageCode=847,22.5,-110,1.91,2650886032,4199395113,22.5,Over -110|Under -110,0.5,1.047619048,0,9.914229855,0.440632438019,0,paired_two_way_proportional_devig_logistic
