Unnamed: 0,Player,Age,Team,G,Att,Team Att,Att_Share,Yds,YBC,YBC/Att,YAC,YAC/Att,REC,TGT,Team TGT,TGT_share,Rec YDS,Rush TD,Rec TD,RZ TD,RZ PCT,RZ REC,RZ REC TD,FPTS,FPTS/G,XFP,TD/G,XTD,fpts_diff,tds_diff,VOR,ALY,normalized_line,PPR_Points_2025
0,saquon barkley,27,PHI,16,345,453,76.16,2005,1328,3.8,677,2,33,43,69,62.32,278,13,2,6,74.4%,9,2,355.3,22.2,16.9,0.9,0.74,5.3,0.16,10.7,4.2,1444.25,232.3
1,derrick henry,30,BAL,17,325,397,81.86,1921,1012,3.1,909,2.8,19,22,76,28.95,193,16,2,12,85.5%,4,2,336.4,19.8,13.9,1.1,0.72,5.9,0.38,8.3,4.75,1350.27,279.5
2,kyren williams,24,LAR,16,316,397,79.6,1299,693,2.2,606,1.9,34,40,55,72.73,182,14,2,14,88.6%,7,2,272.1,17,17,1,0.87,0,0.13,5.5,4.63,998.48,263.3
3,bijan robinson,22,ATL,17,304,454,66.96,1456,728,2.4,728,2.4,61,72,85,84.71,431,14,1,11,67.1%,6,1,341.7,20.1,18,0.9,0.7,2.1,0.2,8.6,4.71,1175.5,370.8
4,jonathan taylor,25,IND,14,303,391,77.49,1431,859,2.8,572,1.9,18,31,65,47.69,136,11,1,6,73.0%,2,1,244.7,17.5,17.1,0.9,0.82,0.4,0.08,6,4.02,1214.56,362.3
5,josh jacobs,26,GNB,17,301,446,67.49,1329,592,2,737,2.4,36,43,71,60.56,342,15,1,13,72.5%,3,1,293.1,17.2,15.6,0.9,0.81,1.6,0.09,5.7,4.72,1050.5,237.1
6,najee harris,26,PIT,17,263,426,61.74,1043,502,1.9,541,2.1,36,48,109,44.04,283,6,0,4,70.8%,4,0,204.6,12,12.9,0.4,0.45,-0.9,-0.05,0.5,4.35,575.81,11.6
7,tony pollard,27,TEN,16,260,367,70.84,1079,521,2,558,2.1,41,57,95,60,238,5,0,3,65.2%,2,0,200.7,12.5,15,0.3,0.34,-2.5,-0.04,1,4.1,873.94,185.8
8,aaron jones,30,MIN,17,255,378,67.46,1138,614,2.4,524,2.1,51,62,87,71.26,408,5,2,4,70.0%,12,2,241.6,14.2,15.6,0.4,0.76,-1.4,-0.36,2.7,4.53,763,118.7
9,dandre swift,25,CHI,17,253,325,77.85,959,511,2,448,1.8,42,52,86,60.47,386,6,0,2,61.2%,0,0,214.5,12.6,13.6,0.4,0.48,-1,-0.08,1.1,3.8,817.17,228.6
10,jahmyr gibbs,22,DET,17,250,478,52.3,1412,813,3.3,599,2.4,52,63,110,57.27,517,16,4,10,47.6%,9,2,362.9,21.3,15.3,1.2,0.74,6,0.46,9.8,5.1,1063.23,366.9
11,chuba hubbard,25,CAR,15,250,342,73.1,1195,656,2.6,539,2.2,43,54,90,60,171,10,1,8,83.3%,8,1,241.6,16.1,16.8,0.7,0.8,-0.7,-0.1,4.6,4.73,950.5,125.4
