Unnamed: 0,Player,Age,Team,G,Att,Team Att,Att_Share,Yds,YBC,YBC/Att,YAC,YAC/Att,REC,TGT,Team TGT,TGT_share,Rec YDS,Rush TD,Rec TD,RZ TD,RZ PCT,RZ REC,RZ REC TD,FPTS,FPTS/G,XFP,TD/G,XTD,fpts_diff,tds_diff,VOR,ALY,normalized_line,PPR_Points_2025
12,joe mixon,28,HOU,14,245,366,66.94,1016,549,2.2,467,1.9,36,52,105,49.52,309,11,1,10,87.5%,3,1,240.5,17.2,17.2,0.9,0.8,0,0.1,5.7,4.08,,0.0
13,james conner,29,ARI,16,236,371,63.61,1094,528,2.2,566,2.4,47,55,95,57.89,414,8,1,8,87.9%,5,1,253.8,15.9,14.6,0.6,0.6,1.3,0,4.4,4.63,900.5,33.3
14,rico dowdle,26,DAL,16,235,346,67.92,1079,570,2.4,509,2.2,39,49,86,56.98,249,2,3,1,52.8%,4,2,197.8,12.4,13.3,0.3,0.38,-0.9,-0.08,0.9,4.6,,216.3
15,chase brown,24,CIN,16,229,331,69.18,990,599,2.6,391,1.7,54,65,103,63.11,360,7,4,6,73.8%,10,4,255,15.9,16.1,0.7,0.83,-0.2,-0.13,4.4,4.37,856.75,282.6
16,alvin kamara,29,NOR,14,228,348,65.52,950,548,2.4,402,1.8,68,89,131,67.94,543,6,2,6,76.1%,3,0,265.3,19,19.3,0.6,0.53,-0.3,0.07,7.5,4.18,763,100.7
17,breece hall,23,NYJ,16,209,331,63.14,876,432,2.1,444,2.1,57,76,115,66.09,483,5,3,5,65.7%,6,0,240.9,15.1,15.5,0.5,0.47,-0.4,0.03,3.6,4.35,903.77,207.7
18,james cook,25,BUF,16,207,361,57.34,1009,530,2.6,479,2.3,32,38,82,46.34,258,16,2,11,62.7%,4,2,266.7,16.7,12.6,1.1,0.67,4.1,0.43,5.2,4.65,950.5,302.2
19,bucky irving,22,TAM,17,207,401,51.62,1122,566,2.7,556,2.7,47,52,121,42.98,392,8,0,7,57.4%,7,0,244.4,14.4,12.6,0.5,0.56,1.8,-0.06,2.9,4.83,1005.37,138.5
20,rhamondre stevenson,26,NWE,15,207,360,57.5,801,370,1.8,431,2.1,33,41,83,49.4,168,7,1,6,73.2%,9,1,175.9,11.7,14,0.5,0.63,-2.3,-0.13,0.2,4.05,650.38,178.8
21,devon achane,23,MIA,17,203,372,54.57,907,486,2.4,421,2.1,78,87,119,73.11,592,6,6,4,60.3%,12,6,299.9,17.6,17.2,0.7,0.7,0.4,0,6.1,3.6,886.32,322.8
22,kareem hunt,29,KAN,13,200,359,55.71,728,399,2,329,1.6,23,32,94,34.04,176,7,0,7,66.2%,7,0,155.4,12,14.4,0.5,0.82,-2.4,-0.32,0.5,4.46,,145.4
23,jk dobbins,26,LAC,13,195,373,52.28,905,416,2.1,489,2.5,32,38,55,69.09,153,9,0,7,43.9%,5,0,191.8,14.8,14,0.7,0.53,0.8,0.17,3.3,4.13,,115.9
24,tyrone tracy,25,NYG,17,192,319,60.19,839,511,2.7,328,1.7,38,53,88,60.23,284,5,1,3,56.4%,4,1,182.3,10.7,11.1,0.4,0.32,-0.4,0.08,-0.8,4.2,825.5,160.8
25,brian robinson,25,WAS,14,187,354,52.82,799,378,2,421,2.3,20,25,79,31.65,159,8,0,7,48.8%,2,0,159.8,11.4,11.8,0.6,0.67,-0.4,-0.07,-0.1,4.27,737.77,62.5
26,david montgomery,27,DET,14,185,478,38.7,775,347,1.9,428,2.3,36,38,110,34.55,341,12,0,12,47.6%,3,0,221.7,15.8,13.9,0.9,0.76,1.9,0.14,4.3,5.1,725.5,166.9
27,tank bigsby,23,JAX,16,168,350,48,766,295,1.8,471,2.8,7,12,83,14.46,54,7,0,5,55.2%,0,0,129,8.1,8.5,0.5,0.46,-0.4,0.04,-3.4,4.33,663.46,53.8
28,jordan mason,25,SFO,12,153,328,46.65,789,441,2.9,348,2.3,11,14,60,23.33,91,3,0,3,50.0%,2,0,115,9.6,9.7,0.3,0.45,-0.1,-0.15,-1.9,4.65,575.5,128.9
29,kenneth walker,24,SEA,11,153,322,47.52,573,263,1.7,310,2,46,53,110,48.18,299,7,1,5,47.9%,8,1,181.2,16.5,16.8,0.7,0.72,-0.3,-0.02,5,4.1,869.48,191.9
30,travis etienne,25,JAX,15,150,350,42.86,558,283,1.9,275,1.8,39,52,83,62.65,254,2,0,2,34.5%,3,0,130.2,8.7,11.4,0.1,0.32,-2.7,-0.22,-2.8,4.33,575.5,253.9
31,rachaad white,25,TAM,16,144,401,35.91,613,231,1.6,382,2.7,51,57,121,47.11,393,3,6,3,34.4%,11,5,199.6,12.5,11.2,0.6,0.38,1.3,0.22,1,4.83,423.72,143.0
32,javonte williams,24,DEN,17,139,343,40.52,513,258,1.9,255,1.8,52,70,107,65.42,346,4,0,4,51.9%,1,0,157.9,9.3,11.6,0.2,0.41,-2.3,-0.21,-2.2,4.52,566.86,242.8
33,tyler allgeier,24,ATL,17,137,454,30.18,644,288,2.1,356,2.6,13,13,85,15.29,88,3,0,3,32.9%,1,0,106.2,6.2,6.1,0.2,0.28,0.1,-0.08,-5.3,4.71,563,123.0
34,zach charbonnet,23,SEA,17,135,322,41.93,569,267,2,302,2.2,42,52,110,47.27,340,8,1,6,45.8%,1,0,186.9,11,9.8,0.5,0.41,1.2,0.09,-0.5,4.1,488,181.4
35,alexander mattison,26,LVR,14,132,308,42.86,420,209,1.6,211,1.6,36,48,112,42.86,294,4,1,4,45.8%,1,0,137.4,9.8,12.3,0.4,0.49,-2.5,-0.09,-1.7,3.85,,0.0
36,antonio gibson,26,NWE,17,120,360,33.33,538,215,1.8,323,2.7,23,29,83,34.94,206,1,0,1,25.0%,1,0,103.4,6.1,6.4,0.1,0.15,-0.3,-0.05,-5.4,4.05,,23.2
37,jaylen warren,26,PIT,15,120,426,28.17,511,279,2.3,232,1.9,38,47,109,43.12,310,1,0,1,26.2%,3,0,124.1,8.3,9.4,0.1,0.26,-1.1,-0.16,-3.2,4.35,583.52,217.1
38,ray davis,25,BUF,17,113,361,31.3,442,217,1.9,225,2,17,19,82,23.17,189,3,3,3,25.4%,1,1,116.1,6.8,5.5,0.4,0.2,1.3,0.2,-4.7,4.65,450.5,64.1
39,jaleel mclaughlin,24,DEN,16,113,343,32.94,496,302,2.7,194,1.7,24,27,107,25.23,76,1,2,1,23.1%,3,2,97.2,6.1,6.4,0.2,0.2,-0.3,0,-5.4,4.52,,31.4
40,devin singletary,27,NYG,15,113,319,35.42,437,206,1.8,231,2,21,24,88,27.27,119,4,0,4,28.2%,0,0,96.6,6,7.1,0.3,0.21,-1.1,0.09,-5.5,4.2,,108.8
41,jerome ford,25,CLE,14,104,308,33.77,565,345,3.3,220,2.1,37,43,87,49.43,225,3,0,2,25.6%,1,0,134,9.6,8.8,0.2,0.17,0.8,0.03,-1.9,3.87,,43.6
42,cam akers,25,2TM,17,104,140,74.29,444,226,2.2,218,2.1,14,18,29,62.07,68,2,3,2,18.3%,3,3,93.2,5.8,5.8,0.3,0.2,0,0.1,-5.7,,,7.2
43,cam akers,25,HOU,5,40,366,10.93,147,84,2.1,63,1.6,14,18,105,17.14,68,2,3,2,18.3%,3,3,93.2,5.8,5.8,0.3,0.2,0,0.1,-5.7,4.08,,7.2
44,cam akers,25,MIN,12,64,378,16.93,297,142,2.2,155,2.4,14,18,87,20.69,68,2,3,2,18.3%,3,3,93.2,5.8,5.8,0.3,0.2,0,0.1,-5.7,4.53,,7.2
45,emanuel wilson,25,GNB,17,103,446,23.09,502,260,2.5,242,2.3,11,14,71,19.72,48,4,1,3,17.5%,2,0,96,5.6,5.2,0.3,0.22,0.4,0.08,-5.9,4.72,,94.5
46,nick chubb,29,CLE,8,102,308,33.12,332,170,1.7,162,1.6,5,11,87,12.64,31,3,1,3,46.2%,1,1,63.3,7.9,9.6,0.4,0.45,-1.7,-0.05,-3.6,3.87,,88.3
47,gus edwards,29,LAC,11,101,373,27.08,365,125,1.2,240,2.4,3,5,55,9.09,6,4,0,4,35.1%,0,0,64.1,5.8,6.5,0.4,0.34,-0.7,0.06,-5.7,4.13,,0.0
48,braelon allen,20,NYJ,17,92,331,27.79,334,143,1.6,191,2.1,19,27,115,23.48,148,2,1,2,25.7%,1,1,85.2,5,5.5,0.2,0.13,-0.5,0.07,-6.5,4.35,,15.3
49,raheem mostert,32,MIA,13,85,372,22.85,278,143,1.7,135,1.6,19,23,119,19.33,161,2,0,2,25.9%,1,0,70.9,5.5,6.8,0.2,0.24,-1.3,-0.04,-6,3.6,,29.4
50,isaac guerendo,24,SFO,16,84,328,25.61,420,180,2.1,240,2.9,15,16,60,26.67,152,4,0,4,20.6%,0,0,94.2,5.9,5,0.3,0.19,0.9,0.11,-5.6,4.65,475.5,0.0
51,tyjae spears,23,TEN,12,84,367,22.89,312,128,1.5,184,2.2,30,35,95,36.84,224,4,1,4,26.1%,3,1,113.6,9.5,8.9,0.4,0.27,0.6,0.13,-2,4.1,550.5,111.7
52,isiah pacheco,25,KAN,7,83,359,23.12,310,182,2.2,128,1.5,12,16,94,17.02,79,1,0,1,15.4%,1,0,56.9,8.1,10.8,0.1,0.36,-2.7,-0.26,-3.4,4.46,699.08,87.3
53,austin ekeler,29,WAS,12,77,354,21.75,367,231,3,136,1.8,35,41,79,51.9,366,4,0,3,23.3%,2,0,132.3,11,9.4,0.3,0.36,1.6,-0.06,-0.5,4.27,,13.1
54,audric estime,21,DEN,13,76,343,22.16,310,134,1.8,176,2.3,5,5,107,4.67,27,2,0,1,19.2%,0,0,48.7,3.7,4.2,0.2,0.13,-0.5,0.07,-7.8,4.52,,48.1
55,kenneth gainwell,25,PHI,17,75,453,16.56,290,162,2.2,128,1.7,16,22,69,31.88,116,1,0,1,24.4%,3,0,62.6,3.7,4.6,0.1,0.2,-0.9,-0.1,-7.8,4.2,,221.3
56,ezekiel elliott,29,DAL,15,74,346,21.39,226,115,1.6,111,1.5,12,15,86,17.44,69,3,0,3,38.9%,1,0,57.5,3.8,4.7,0.2,0.2,-0.9,0,-7.7,4.6,,0.0
57,zack moss,27,CIN,8,74,331,22.36,242,166,2.2,76,1,23,27,103,26.21,187,2,1,2,26.2%,2,1,81.9,9.1,11.4,0.4,0.5,-2.3,-0.1,-2.4,4.37,,0.0
58,donta foreman,28,CLE,11,71,308,23.05,232,131,1.8,101,1.4,6,8,87,9.2,54,0,0,0,28.2%,0,0,32.6,3.3,5.4,0,0.28,-2.1,-0.28,-8.2,3.87,,0.0
59,jaylen wright,21,MIA,15,68,372,18.28,249,126,1.9,123,1.8,3,6,119,5.04,8,0,0,0,8.6%,1,0,26.7,1.8,3,0,0.07,-1.2,-0.07,-9.7,3.6,,48.2
60,ameer abdullah,31,LVR,16,66,308,21.43,311,183,2.8,128,1.9,40,47,112,41.96,261,2,3,2,27.1%,6,3,125.2,8.3,8.9,0.4,0.31,-0.6,0.09,-3.2,3.85,,35.9
61,zamir white,25,LVR,8,65,308,21.1,183,93,1.4,90,1.4,6,8,112,7.14,30,1,0,1,14.6%,0,0,29.3,3.7,6.4,0.1,0.22,-2.7,-0.12,-7.8,3.85,,9.6
62,trey benson,21,ARI,13,63,371,16.98,291,157,2.5,134,2.1,6,6,95,6.32,59,1,0,1,5.2%,0,0,47,3.6,3.3,0.1,0.07,0.3,0.03,-7.9,4.63,,35.4
63,blake corum,24,LAR,17,58,397,14.61,207,122,2.1,85,1.5,7,8,55,14.55,58,0,0,0,10.1%,0,0,33.5,2.2,3.3,0,0.13,-1.1,-0.13,-9.3,4.63,,122.2
64,ty chandler,26,MIN,17,56,378,14.81,182,128,2.3,54,1,6,6,87,6.9,42,0,0,0,8.3%,1,0,28.4,1.9,4,0,0.13,-2.1,-0.13,-9.6,4.53,,8.8
65,trey sermon,25,IND,17,56,391,14.32,159,75,1.3,84,1.5,16,19,65,29.23,99,2,0,2,18.9%,2,0,53.8,3.6,4.2,0.1,0.2,-0.6,-0.1,-7.9,4.02,,0.0
66,carson steele,22,KAN,17,56,359,15.6,183,87,1.6,96,1.7,7,11,94,11.7,26,0,0,0,15.4%,1,0,23.9,1.5,3.1,0,0.1,-1.6,-0.1,-10,4.46,,0.0
67,roschon johnson,23,CHI,14,55,325,16.92,150,80,1.5,70,1.3,16,20,86,23.26,104,6,0,6,28.6%,1,0,77.4,6,5.8,0.5,0.37,0.2,0.13,-5.5,3.8,,1.7
68,jeremy mcnichols,29,WAS,17,55,354,15.54,261,97,1.8,164,3,9,12,79,15.19,27,4,0,3,15.1%,2,0,63.8,3.8,3,0.3,0.1,0.8,0.2,-7.7,4.27,,72.7
69,miles sanders,27,CAR,11,55,342,16.08,205,124,2.3,81,1.5,24,30,90,33.33,148,2,1,1,7.4%,3,0,77.3,7,7,0.3,0.19,0,0.11,-4.5,4.73,,26.7
70,christian mccaffrey,28,SFO,4,50,328,15.24,202,116,2.3,86,1.7,15,19,60,31.67,146,0,0,0,10.3%,3,0,47.8,12,14,0,0.3,-2,-0.3,0.5,4.65,950.27,416.6
71,sean tucker,23,TAM,17,50,401,12.47,308,179,3.6,129,2.6,9,12,121,9.92,109,2,1,2,8.2%,0,0,68.7,4,3.8,0.3,0.14,0.2,0.16,-7.5,4.83,,91.4
72,jamaal williams,29,NOR,14,48,348,13.79,164,92,1.9,72,1.5,9,11,131,8.4,57,1,0,1,15.2%,0,0,37.1,2.7,2.9,0.1,0.1,-0.2,0,-8.8,4.18,,0.0
73,justice hill,27,BAL,15,47,397,11.84,228,90,1.9,138,2.9,42,51,76,67.11,383,1,3,0,9.7%,6,2,127.1,8.5,6.2,0.2,0.13,2.3,0.07,-3,4.75,,65.2
74,kimani vidal,23,LAC,10,43,373,11.53,155,83,1.9,72,1.7,5,9,55,16.36,62,0,1,0,8.8%,0,0,32.7,3.3,3.7,0.1,0.06,-0.4,0.04,-8.2,4.13,,117.9
75,ty johnson,27,BUF,17,41,361,11.36,213,106,2.6,107,2.6,18,25,82,30.49,284,1,3,1,11.9%,5,2,91.7,5.4,4.1,0.2,0.17,1.3,0.03,-6.1,4.65,,100.3
76,dameon pierce,24,HOU,11,40,366,10.93,293,77,1.9,216,5.4,2,4,105,3.81,2,2,0,0,3.1%,0,0,43.5,4,2.7,0.2,0.05,1.3,0.15,-7.5,4.08,,3.6
77,sincere mccormick,24,LVR,5,39,308,12.66,183,90,2.3,93,2.4,6,7,112,6.25,29,0,0,0,10.4%,1,0,27.2,6.8,5.7,0,0.17,1.1,-0.17,-4.7,3.85,,0.0
78,kendre miller,22,NOR,6,39,348,11.21,148,55,1.4,93,2.4,5,8,131,6.11,33,1,0,1,6.5%,0,0,29.1,4.2,5.7,0.2,0.07,-1.5,0.13,-7.3,4.18,,33.3
79,patrick taylor,26,SFO,13,39,328,11.89,183,89,2.3,94,2.4,3,11,60,18.33,25,1,0,1,14.7%,0,0,29.8,3.3,6,0.1,0.3,-2.7,-0.2,-8.2,4.65,,0.0
80,chris brooks,24,GNB,15,36,446,8.07,183,74,2.1,109,3,11,13,71,18.31,69,1,0,1,10.0%,2,0,42.2,3.2,3.5,0.1,0.1,-0.3,0,-8.3,4.72,,32.7
81,khalil herbert,26,2TM,14,36,140,25.71,130,74,2.1,56,1.6,10,11,29,37.93,25,1,0,1,10.2%,0,0,31.5,2.6,3.2,0.1,0.18,-0.6,-0.08,-8.9,,,6.6
82,khalil herbert,26,CHI,6,8,325,2.46,16,6,0.8,10,1.3,10,11,86,12.79,25,1,0,1,10.2%,0,0,31.5,2.6,3.2,0.1,0.18,-0.6,-0.08,-8.9,3.8,,6.6
83,khalil herbert,26,CIN,8,28,331,8.46,114,68,2.4,46,1.6,10,11,103,10.68,25,1,0,1,10.2%,0,0,31.5,2.6,3.2,0.1,0.18,-0.6,-0.08,-8.9,4.37,,6.6
84,michael carter,25,ARI,3,35,371,9.43,131,81,2.3,50,1.4,11,11,95,11.58,57,1,0,0,5.2%,0,0,35.8,9,,,,,,-2.5,4.63,,99.0
85,chris rodriguez,24,WAS,9,35,354,9.89,173,62,1.8,111,3.2,1,1,79,1.27,12,2,0,2,12.8%,0,0,31.5,3.9,3.8,0.3,0.27,0.1,0.03,-7.6,4.27,,92.0
86,hassan haskins,25,LAC,17,34,373,9.12,89,39,1.1,50,1.5,3,3,55,5.45,49,2,1,1,12.3%,0,0,32.8,2.2,2.8,0.2,0.29,-0.6,-0.09,-9.3,4.13,,10.0
87,tyler goodson,24,IND,16,32,391,8.18,153,93,2.9,60,1.9,11,15,65,23.08,61,1,1,1,8.1%,2,1,44.4,2.8,2.8,0.1,0.11,0,-0.01,-8.7,4.02,,5.2
88,dernest johnson,28,JAX,14,32,350,9.14,143,79,2.5,64,2,12,19,83,22.89,96,0,0,0,10.3%,0,0,35.9,3,3.5,0,0.11,-0.5,-0.11,-8.5,4.33,,2.5
89,cordarrelle patterson,33,PIT,13,32,426,7.51,135,46,1.4,89,2.8,12,14,109,12.84,80,0,1,0,1.5%,2,1,37.5,2.9,2.9,0.1,0.07,0,0.03,-8.6,4.35,,0.0
90,kenny mcintosh,24,SEA,17,31,322,9.63,172,97,3.1,75,2.4,3,4,110,3.64,22,0,0,0,6.3%,0,0,22.4,1.9,3,0,0.04,-1.1,-0.04,-9.6,4.1,,0.0
91,craig reynolds,28,DET,17,31,478,6.49,139,91,2.9,48,1.5,3,5,110,4.55,40,0,0,0,1.9%,0,0,20.9,1.5,1.7,0,0.03,-0.2,-0.03,-10,5.1,,0.4
92,isaiah davis,22,NYJ,17,30,331,9.06,174,66,2.2,108,3.6,9,12,115,10.43,75,1,1,1,8.6%,2,1,45.9,3.3,4.5,0.2,0.15,-1.2,0.05,-8.2,4.35,,71.2
93,dare ogunbowale,30,HOU,17,30,366,8.2,112,70,2.3,42,1.4,19,28,105,26.67,198,0,1,0,6.3%,2,1,56,3.3,3.5,0.1,0.13,-0.2,-0.03,-8.2,4.08,,24.1
94,will shipley,22,PHI,16,30,453,6.62,82,44,1.5,38,1.3,4,4,69,5.8,35,0,0,0,1.2%,0,0,15.7,1.2,2.6,0,0.06,-1.4,-0.06,-10.3,4.2,,17.5
95,pierre strong,26,CLE,14,26,308,8.44,108,69,2.7,39,1.5,14,22,87,25.29,104,0,0,0,0.0%,1,0,35.2,2.7,3.6,0,0.02,-0.9,-0.02,-8.8,3.87,,0.0
96,emari demercado,25,ARI,13,24,371,6.47,223,86,3.6,137,5.7,16,20,95,21.05,104,1,0,0,0.0%,4,0,54.7,4.2,3.3,0.1,0.03,0.9,0.07,-7.3,4.63,,58.3
97,julius chestnut,24,TEN,17,22,367,5.99,102,55,2.5,47,2.1,2,3,95,3.16,11,0,0,0,8.7%,0,0,13.3,1,1.4,0,0.06,-0.4,-0.06,-10.5,4.1,,4.0
98,ronnie rivers,25,LAR,17,22,397,5.54,99,71,3.2,28,1.3,5,6,55,10.91,34,0,0,0,1.3%,0,0,18.3,2.6,4.1,0,0.1,-1.5,-0.1,-8.9,4.63,,4.6
99,jamycal hasty,28,NWE,15,20,360,5.56,69,38,1.9,31,1.6,10,12,83,14.46,59,0,1,0,0.0%,1,1,28.8,2.4,2.7,0.1,0.02,-0.3,0.08,-9.1,4.05,,0.0
100,jordan mims,25,NOR,11,20,348,5.75,70,50,2.5,20,1,12,18,131,13.74,71,0,0,0,2.2%,1,0,26.1,3.3,4.5,0,0.1,-1.2,-0.1,-8.2,4.18,,0.0
101,samaje perine,29,KAN,17,20,359,5.57,92,54,2.7,38,1.9,28,35,94,37.23,322,1,1,1,3.1%,1,1,81.4,4.8,4.1,0.1,0.14,0.7,-0.04,-6.7,4.46,,77.9
102,deuce vaughn,23,DAL,7,17,346,4.91,70,38,2.2,32,1.9,3,5,86,5.81,18,0,0,0,2.8%,0,0,11.8,2,2.8,0,0.06,-0.8,-0.06,-9.5,4.6,,0.0
103,jeff wilson,29,MIA,9,16,372,4.3,57,24,1.5,33,2.1,3,3,119,2.52,19,0,0,0,1.7%,0,0,10.6,1.5,1.5,0,0.05,0,-0.05,-10,3.6,,0.0
104,raheem blackshear,25,CAR,16,15,342,4.39,80,35,2.3,45,3,0,0,90,0,0,0,0,0,1.9%,0,0,8,0.5,1,0,0.01,-0.5,-0.01,-11,4.73,,0.0
105,keaton mitchell,22,BAL,5,15,397,3.78,30,8,0.5,22,1.5,1,1,76,1.32,28,0,0,,,,,6.8,1.7,2.1,0,0.01,-0.4,-0.01,-9.8,4.75,,55.4
106,eric gray,25,NYG,17,14,319,4.39,31,17,1.2,14,1,10,11,88,12.5,82,0,0,0,15.4%,1,0,17.3,1.1,2.2,0,0.13,-1.1,-0.13,-10.4,4.2,,0.0
107,mike boone,29,CAR,6,13,342,3.8,51,30,2.3,21,1.6,1,3,90,3.33,-2,0,0,0,1.9%,0,0,5.9,1.2,2.2,0,0.03,-1,-0.03,-10.3,4.73,,0.0
108,clyde edwards-helaire,25,NOR,2,13,348,3.74,46,17,1.3,29,2.2,3,5,131,3.82,24,0,0,,,,,10,5,,,,,,-6.5,4.18,,4.2
109,terrell jennings,23,NWE,3,13,360,3.61,33,19,1.5,14,1.1,0,1,83,1.2,0,0,0,0,1.8%,0,0,3.3,1.7,6.2,0,0.26,-4.5,-0.26,-9.8,4.05,,15.2
110,jase mcclellan,22,ATL,2,13,454,2.86,32,13,1,19,1.5,0,0,85,0,0,0,0,,,,,3.2,1.1,2.8,0,0.04,-1.7,-0.04,-10.4,4.71,,0.0
111,hunter luepke,24,DAL,16,12,346,3.47,38,13,1.1,25,2.1,12,16,86,18.6,111,0,0,0,5.6%,0,0,26.9,1.7,,,,,,-9.8,4.6,,37.0
112,tyler badie,24,DEN,3,11,343,3.21,86,22,2,64,5.8,3,3,107,2.8,-2,0,0,0,0.0%,1,0,9.4,3.1,3.6,0,0.04,-0.5,-0.04,-8.4,4.52,,35.4
113,rasheen ali,23,BAL,6,10,397,2.52,31,16,1.6,15,1.5,0,2,76,2.63,0,0,0,0,4.8%,0,0,3.1,0.6,,,,,,-10.9,4.75,,24.2
114,jj taylor,26,HOU,5,10,366,2.73,44,34,3.4,10,1,2,3,105,2.86,0,0,0,0,3.1%,0,0,6.4,1.6,2.3,0,0.06,-0.7,-0.06,-9.9,4.08,,0.0
115,jonathon brooks,21,CAR,3,9,342,2.63,22,8,0.9,14,1.6,3,3,90,3.33,23,0,0,0,5.6%,2,0,7.5,2.5,4,0,0.25,-1.5,-0.25,-9,4.73,,0.0
116,deejay dallas,26,ARI,17,9,371,2.43,49,32,3.6,17,1.9,3,3,95,3.16,11,0,1,0,1.7%,1,1,21,1.3,2,0.1,0.1,-0.7,0,-10.2,4.63,,2.1
117,dalvin cook,29,DAL,2,8,346,2.31,20,12,1.5,8,1,1,1,86,1.16,10,0,0,,,,,4,2,2.9,0,0.02,-0.9,-0.02,-9.5,4.6,,0.0
118,travis homer,26,CHI,10,6,325,1.85,23,16,2.7,7,1.2,3,3,86,3.49,11,0,0,,,,,6.4,0.7,1.1,0,0,-0.4,0,-10.8,3.8,,-0.2
119,jermar jefferson,24,DET,2,6,478,1.26,22,9,1.5,13,2.2,1,1,110,0.91,10,0,0,0,2.9%,0,0,4.2,2.1,,,,,,-9.4,5.1,,0.0
120,marshawn lloyd,23,GNB,1,6,446,1.35,15,12,2,3,0.5,1,1,71,1.41,3,0,0,,,,,2.8,2.8,4.4,0,0.07,-1.6,-0.07,-8.7,4.72,,0.0
121,aaron shampklin,25,PIT,3,6,426,1.41,17,8,1.3,9,1.5,0,0,109,0,0,0,0,0,1.5%,0,0,1.7,0.6,1.5,0,0.12,-0.9,-0.12,-10.9,4.35,,0.0
122,sione vaki,23,DET,16,6,478,1.26,14,8,1.3,6,1,3,3,110,2.73,37,0,0,,,,,8.1,0.7,1,0,0,-0.3,0,-10.8,5.1,,0.4
123,chris collier,24,LVR,3,5,308,1.62,12,5,1,7,1.4,1,2,112,1.79,-4,0,0,,,,,1.8,0.3,2,0,0.03,-1.7,-0.03,-11.2,3.85,,0.0
124,jacob kibodi,26,CLE,1,5,308,1.62,24,10,2,14,2.8,1,3,87,3.45,15,0,0,,,,,4.9,4.9,,,,,,-6.6,3.87,,0.0
125,jonathan ward,27,PIT,4,5,426,1.17,22,12,2.4,10,2,0,0,109,0,0,0,0,,,,,2.2,0.6,0.8,0,0,-0.2,0,-10.9,4.35,,0.0
126,tony jones,27,ARI,1,4,371,1.08,55,9,2.3,46,11.5,0,0,95,0,0,1,0,,,,,11.5,11.5,,,,,,0,4.63,,0.0
127,blake watson,25,DEN,2,4,343,1.17,10,7,1.8,3,0.8,1,2,107,1.87,13,0,0,0,0.0%,1,0,3.3,1.1,2.5,0,0.03,-1.4,-0.03,-10.4,4.52,,0.0
128,tyrion davis-price,24,PHI,1,3,453,0.66,7,3,1,4,1.3,0,0,69,0,0,0,0,,,,,0.7,0.7,,,,,,-10.8,4.2,,0.0
