Player,Age,Team,G,Att,Team Att,Att_Share,Yds,YBC,YBC/Att,YAC,YAC/Att,REC,TGT,Team TGT,TGT_share,Rec YDS,Rush TD,Rec TD,RZ TD,RZ PCT,RZ REC,RZ REC TD,FPTS,FPTS/G,XFP,TD/G,XTD,fpts_diff,tds_diff,VOR,ALY,normalized_line
saquon barkley,28,PHI,16,280,364,76.92,1140,708,2.53,432,1.54,37,50,69,72.46,273,7,2,5,69.4%,5,1,232.3,14.5,15.8,0.56,0.61,-1.2,-0.05,3.0,4.09,
derrick henry,31,BAL,17,307,392,78.32,1595,903,2.94,692,2.25,15,21,73,28.77,150,16,0,10,76.8%,2,0,279.5,16.4,14.9,0.94,0.92,1.6,0.02,4.9,4.47,
kyren williams,25,LAR,17,259,413,62.71,1252,737,2.85,515,1.99,36,50,64,78.12,281,10,3,10,66.2%,8,3,263.3,15.5,14.6,0.76,0.72,0.9,0.04,4.0,5.09,
bijan robinson,23,ATL,17,287,439,65.38,1478,812,2.83,666,2.32,79,103,119,86.55,820,7,4,5,52.2%,9,3,370.8,21.8,19.3,0.65,0.56,2.5,0.08,10.3,4.5,
jonathan taylor,26,IND,17,323,373,86.6,1585,826,2.56,759,2.35,46,55,77,71.43,378,18,2,14,89.7%,4,2,362.3,21.3,18.0,1.18,0.91,3.3,0.27,9.8,4.45,
josh jacobs,27,GNB,15,234,386,60.62,929,503,2.15,426,1.82,36,44,78,56.41,282,13,1,12,65.8%,5,1,237.1,15.8,15.2,0.93,0.76,0.6,0.17,4.3,4.38,
najee harris,27,LAC,3,15,359,4.18,61,33,2.2,28,1.87,3,3,70,4.29,25,0,0,0,1.6%,0,0,11.6,3.9,3.8,0.0,0.03,0.1,-0.03,-7.6,4.0,
tony pollard,28,TEN,17,242,328,73.78,1082,640,2.64,442,1.83,33,41,93,44.09,206,5,0,3,57.6%,1,0,185.8,10.9,10.8,0.29,0.26,0.1,0.03,-0.6,4.44,
aaron jones,31,MIN,12,132,348,37.93,548,314,2.38,234,1.77,28,41,80,51.25,199,2,1,2,28.6%,3,0,118.7,9.9,10.9,0.25,0.28,-1.0,-0.03,-1.6,4.52,
dandre swift,26,CHI,16,223,400,55.75,1087,716,3.21,371,1.66,34,48,79,60.76,299,9,1,8,52.6%,1,0,228.6,14.3,13.4,0.62,0.51,0.9,0.11,2.8,4.97,
jahmyr gibbs,23,DET,17,243,407,59.71,1223,842,3.47,381,1.57,77,94,123,76.42,616,13,5,9,60.5%,12,5,366.9,21.6,18.0,1.06,0.63,3.6,0.43,10.1,4.19,
chuba hubbard,26,CAR,15,134,391,34.27,511,269,2.01,242,1.81,30,39,92,42.39,223,1,3,1,31.6%,4,1,125.4,8.4,8.8,0.27,0.26,-0.5,0.01,-3.1,4.67,
joe mixon,29,HOU,0,0,399,0.0,0,0,,0,,0,0,77,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.04,
james conner,30,ARI,3,32,292,10.96,95,39,1.22,56,1.75,8,9,124,7.26,38,1,1,1,12.8%,1,1,33.3,11.1,13.4,0.67,0.84,-2.3,-0.18,-0.4,4.07,
rico dowdle,27,CAR,17,236,391,60.36,1076,596,2.53,480,2.03,39,50,92,54.35,297,6,1,6,59.6%,3,0,216.3,12.7,11.7,0.41,0.33,1.0,0.08,1.2,4.67,
chase brown,25,CIN,17,232,334,69.46,1019,561,2.42,458,1.97,69,88,111,79.28,437,6,5,6,69.2%,8,5,282.6,16.6,16.2,0.65,0.54,0.4,0.1,5.1,4.64,
alvin kamara,30,NOR,11,131,300,43.67,471,282,2.15,189,1.44,33,39,77,50.65,186,1,0,1,44.1%,4,0,100.7,9.2,11.0,0.09,0.22,-1.9,-0.13,-2.3,4.27,
breece hall,24,NYJ,16,243,334,72.75,1065,618,2.54,447,1.84,36,48,93,51.61,350,4,1,2,52.2%,2,0,207.7,13.0,12.3,0.31,0.31,0.7,0.0,1.5,4.19,
james cook,26,BUF,17,309,419,73.75,1621,935,3.03,686,2.22,33,40,88,45.45,291,12,2,7,67.5%,3,1,302.2,17.8,14.7,0.82,0.6,3.1,0.22,6.3,4.96,
bucky irving,23,TAM,10,173,398,43.47,588,305,1.76,283,1.64,30,35,91,38.46,277,1,3,1,31.6%,3,1,138.5,13.8,13.9,0.4,0.26,-0.1,0.14,2.3,4.07,
rhamondre stevenson,27,NWE,14,130,371,35.04,603,243,1.87,360,2.77,32,37,85,43.53,345,7,2,5,36.6%,5,1,178.8,12.8,10.8,0.64,0.54,2.0,0.1,1.3,4.09,
devon achane,24,MIA,16,238,380,62.63,1350,631,2.65,719,3.02,67,85,114,74.56,488,8,4,3,50.0%,7,3,322.8,20.2,16.6,0.75,0.41,3.5,0.34,8.7,4.18,
kareem hunt,30,KAN,17,163,336,48.51,611,319,1.96,292,1.79,18,25,89,28.09,143,8,1,8,55.9%,2,1,145.4,8.6,8.6,0.53,0.49,-0.1,0.04,-2.9,4.45,
jk dobbins,27,DEN,10,153,354,43.22,772,398,2.6,374,2.44,11,14,117,11.97,37,4,0,4,35.1%,0,0,115.9,11.6,10.9,0.4,0.38,0.7,0.02,0.1,4.36,
tyrone tracy,26,NYG,15,176,396,44.44,740,439,2.49,301,1.71,36,48,99,48.48,288,2,2,1,31.8%,4,2,160.8,10.7,11.1,0.27,0.27,-0.4,-0.01,-0.8,4.41,
brian robinson,26,SFO,17,92,405,22.72,400,237,2.58,163,1.77,8,12,169,7.1,25,2,0,2,14.6%,3,0,62.5,3.7,4.2,0.12,0.16,-0.5,-0.04,-7.8,4.29,
