Player,Age,Team,G,Att,Team Att,Att_Share,Yds,YBC,YBC/Att,YAC,YAC/Att,REC,TGT,Team TGT,TGT_share,Rec YDS,Rush TD,Rec TD,RZ TD,RZ PCT,RZ REC,RZ REC TD,FPTS,FPTS/G,XFP,TD/G,XTD,fpts_diff,tds_diff,VOR,ALY,normalized_line
david montgomery,28,DET,17,158,407,38.82,716,382,2.42,334,2.11,24,29,123,23.58,192,8,0,6,39.5%,1,0,166.9,9.8,9.7,0.47,0.6,0.1,-0.13,-1.7,4.19,
tank bigsby,23,2TM,15,63,737,8.55,356,188,2.98,168,2.67,3,4,147,2.72,32,2,0,1,12.3%,1,0,53.8,3.6,3.6,0.13,0.25,0.0,-0.11,-7.9,4.15,
jordan mason,26,MIN,16,159,348,45.69,758,373,2.35,385,2.42,14,16,80,20.0,51,6,0,6,59.2%,1,0,128.9,8.1,7.4,0.38,0.33,0.6,0.05,-3.4,4.52,
kenneth walker,25,SEA,17,221,435,50.8,1027,621,2.81,406,1.84,31,36,63,57.14,282,5,0,4,37.8%,2,0,191.9,11.3,11.4,0.29,0.41,-0.1,-0.12,-0.2,4.13,
travis etienne,26,JAX,17,260,373,69.71,1107,562,2.16,545,2.1,36,52,78,66.67,292,7,6,5,64.3%,8,5,253.9,14.9,14.2,0.76,0.62,0.7,0.15,3.4,4.2,
rachaad white,26,TAM,17,132,398,33.17,572,373,2.83,199,1.51,40,45,91,49.45,218,4,0,4,31.6%,9,0,143.0,8.4,9.1,0.24,0.37,-0.7,-0.13,-3.1,4.07,
javonte williams,25,DAL,16,252,383,65.8,1201,599,2.38,602,2.39,35,51,82,62.2,137,11,2,10,70.1%,8,2,242.8,15.2,16.4,0.81,0.91,-1.3,-0.1,3.7,4.66,
tyler allgeier,25,ATL,17,143,439,32.57,514,284,1.99,230,1.61,14,16,119,13.45,96,8,0,7,47.8%,1,0,123.0,7.2,7.1,0.47,0.4,0.1,0.07,-4.3,4.5,
zach charbonnet,24,SEA,16,184,435,42.3,730,393,2.14,337,1.83,20,24,63,38.1,144,12,0,11,56.7%,3,0,181.4,11.3,11.2,0.75,0.72,0.1,0.03,-0.2,4.13,
alexander mattison,27,MIA,0,0,380,0.0,0,0,,0,,0,0,114,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.18,
antonio gibson,27,NWE,5,25,371,6.74,106,52,2.08,54,2.16,2,3,85,3.53,6,1,0,1,5.6%,0,0,23.2,4.6,4.0,0.2,0.2,0.6,0.0,-6.9,4.09,
jaylen warren,27,PIT,16,211,368,57.34,958,461,2.18,497,2.36,40,45,136,33.09,333,6,2,4,54.8%,4,1,217.1,13.6,13.0,0.5,0.61,0.6,-0.11,2.1,4.21,
ray davis,26,BUF,17,58,419,13.84,275,145,2.5,130,2.24,10,13,88,14.77,86,0,2,0,8.4%,4,2,64.1,3.8,3.5,0.12,0.16,0.2,-0.04,-7.7,4.96,
jaleel mclaughlin,25,DEN,8,37,354,10.45,187,114,3.08,73,1.97,4,6,117,5.13,27,1,0,1,8.8%,0,0,31.4,3.9,3.6,0.12,0.08,0.3,0.05,-7.6,4.36,
devin singletary,28,NYG,17,119,396,30.05,437,219,1.84,218,1.83,18,19,99,19.19,151,5,0,4,33.3%,2,0,108.8,6.4,6.6,0.29,0.36,-0.2,-0.07,-5.1,4.41,
jerome ford,26,CLE,13,24,353,6.8,73,43,1.79,30,1.25,26,32,120,26.67,103,0,0,0,8.0%,5,0,43.6,3.4,4.6,0.0,0.13,-1.3,-0.13,-8.1,3.54,
cam akers,26,2TM,4,5,783,0.64,19,12,2.4,7,1.4,0,1,143,0.7,0,0,0,0,0.0%,0,0,7.2,1.8,1.0,0.0,0.01,0.8,-0.01,-9.7,4.3,
emanuel wilson,26,GNB,17,125,386,32.38,496,225,1.8,271,2.17,15,17,78,21.79,99,3,0,3,30.4%,1,0,94.5,5.6,6.1,0.18,0.25,-0.5,-0.07,-5.9,4.38,
nick chubb,30,HOU,15,122,399,30.58,506,251,2.06,255,2.09,13,20,77,25.97,67,3,0,1,21.7%,1,0,88.3,5.9,6.7,0.2,0.25,-0.9,-0.05,-5.6,4.04,
gus edwards,30,FA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,,
braelon allen,21,NYJ,4,18,334,5.39,76,43,2.39,33,1.83,2,3,93,3.23,17,1,0,1,13.0%,1,0,15.3,3.8,4.5,0.25,0.26,-0.7,-0.01,-7.7,4.19,
raheem mostert,33,LVR,12,22,307,7.17,104,36,1.64,68,3.09,12,12,95,12.63,70,0,0,0,10.5%,1,0,29.4,2.4,2.4,0.0,0.04,0.1,-0.04,-9.1,3.62,
isaac guerendo,25,SFO,7,0,405,0.0,0,0,,0,,0,0,169,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.29,
tyjae spears,24,TEN,13,72,328,21.95,283,186,2.58,97,1.35,45,50,93,53.76,264,2,0,2,30.3%,7,0,111.7,8.6,8.5,0.15,0.2,0.1,-0.04,-2.9,4.44,
isiah pacheco,26,KAN,13,118,336,35.12,462,273,2.31,189,1.6,19,26,89,29.21,101,1,1,1,29.4%,2,1,87.3,6.7,8.1,0.15,0.22,-1.3,-0.06,-4.8,4.45,
austin ekeler,30,WAS,2,14,345,4.06,43,23,1.64,20,1.43,5,7,55,12.73,38,0,0,0,2.8%,0,0,13.1,6.5,8.8,0.0,0.17,-2.3,-0.17,-5.0,4.45,
audric estime,22,NOR,5,46,300,15.33,198,100,2.17,98,2.13,12,13,77,16.88,103,1,0,0,17.6%,0,0,48.1,9.6,9.6,0.2,0.35,0.0,-0.15,-1.9,4.27,
kenneth gainwell,26,PIT,17,114,368,30.98,537,300,2.63,237,2.08,73,85,136,62.5,486,5,3,5,31.5%,14,2,221.3,13.0,12.5,0.47,0.54,0.5,-0.07,1.5,4.21,
ezekiel elliott,30,FA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,,
zack moss,28,FA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,,
donta foreman,29,FA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,,
jaylen wright,22,MIA,9,70,380,18.42,288,112,1.6,176,2.51,5,9,114,7.89,44,2,0,2,18.8%,0,0,48.2,5.4,6.4,0.22,0.28,-1.0,-0.06,-6.1,4.18,
ameer abdullah,32,IND,13,14,373,3.75,60,28,2.0,32,2.29,16,17,77,22.08,99,1,0,1,3.8%,1,0,37.9,2.9,2.7,0.08,0.08,0.2,0.0,-8.6,4.45,
zamir white,26,LVR,5,12,307,3.91,32,19,1.58,13,1.08,4,6,95,6.32,24,0,0,0,0.0%,0,0,9.6,1.9,3.0,0.0,0.02,-1.0,-0.02,-9.6,3.62,
trey benson,23,ARI,4,29,292,9.93,160,88,3.03,72,2.48,13,16,124,12.9,64,0,0,0,7.7%,1,0,35.4,8.8,10.2,0.0,0.28,-1.3,-0.28,-2.7,4.07,
blake corum,25,LAR,17,145,413,35.11,746,509,3.51,237,1.63,8,14,64,21.88,36,6,0,5,33.8%,0,0,122.2,7.2,7.2,0.35,0.41,0.0,-0.05,-4.3,5.09,
ty chandler,27,MIN,3,17,348,4.89,47,16,0.94,31,1.82,3,4,80,5.0,11,0,0,0,2.0%,1,0,8.8,2.9,6.0,0.0,0.31,-3.1,-0.31,-8.6,4.52,
trey sermon,26,PIT,3,0,368,0.0,0,0,,0,,0,0,136,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.21,
carson steele,23,KAN,0,0,336,0.0,0,0,,0,,0,0,89,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.45,
roschon johnson,24,CHI,6,2,400,0.5,17,6,3.0,11,5.5,0,0,79,0.0,0,0,0,0,0.0%,0,0,1.7,0.3,0.2,0.0,0.0,0.1,0.0,-11.2,4.97,
jeremy mcnichols,30,WAS,16,44,345,12.75,221,68,1.55,153,3.48,25,31,55,56.36,196,1,0,0,7.0%,2,0,72.7,4.5,4.5,0.06,0.07,0.1,-0.01,-7.0,4.45,
miles sanders,28,DAL,4,20,383,5.22,117,81,4.05,36,1.8,8,8,82,9.76,30,1,0,1,7.8%,1,0,26.7,6.7,6.0,0.25,0.17,0.6,0.08,-4.8,4.66,
christian mccaffrey,29,SFO,17,311,405,76.79,1202,728,2.34,474,1.52,102,129,169,76.33,924,10,7,10,84.3%,20,7,416.6,24.5,25.5,1.0,1.23,-1.0,-0.23,13.0,4.29,
sean tucker,24,TAM,17,86,398,21.61,320,237,2.76,83,0.97,8,11,91,12.09,34,7,1,6,36.8%,1,0,91.4,5.4,5.3,0.47,0.41,0.1,0.07,-6.1,4.07,
jamaal williams,30,FA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,,
justice hill,28,BAL,10,18,392,4.59,93,23,1.28,70,3.89,21,27,73,36.99,169,2,1,1,3.7%,1,1,65.2,6.5,5.4,0.3,0.1,1.1,0.2,-5.0,4.47,
kimani vidal,24,LAC,13,155,359,43.18,643,276,1.78,367,2.37,16,22,70,31.43,136,3,1,2,42.6%,3,1,117.9,9.1,10.6,0.31,0.53,-1.5,-0.22,-2.4,4.0,
ty johnson,28,BUF,17,50,419,11.93,200,129,2.58,71,1.42,24,33,88,37.5,263,3,2,3,22.9%,2,1,100.3,5.9,5.6,0.29,0.3,0.3,-0.01,-5.6,4.96,
dameon pierce,25,2TM,5,14,735,1.9,36,12,0.86,24,1.71,0,1,166,0.6,0,0,0,0,0.8%,0,0,3.6,0.7,1.5,0.0,0.01,-0.8,-0.01,-10.8,4.23,
sincere mccormick,25,MIN,0,0,348,0.0,0,0,,0,,0,0,80,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.52,
kendre miller,23,NOR,7,47,300,15.67,193,72,1.53,121,2.57,5,5,77,6.49,30,1,0,1,14.7%,0,0,33.3,4.8,4.2,0.14,0.06,0.5,0.09,-6.7,4.27,
patrick taylor,27,SFO,0,0,405,0.0,0,0,,0,,0,0,169,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.29,
chris brooks,25,GNB,17,27,386,6.99,106,56,2.07,50,1.85,13,17,78,21.79,91,0,0,0,3.8%,1,0,32.7,1.9,2.2,0.0,0.03,-0.3,-0.03,-9.6,4.38,
khalil herbert,27,NYJ,5,16,334,4.79,52,15,0.94,37,2.31,1,4,93,4.3,4,0,0,0,6.5%,0,0,6.6,1.3,2.8,0.0,0.06,-1.5,-0.06,-10.2,4.19,
michael carter,26,ARI,13,92,292,31.51,333,209,2.27,124,1.35,33,45,124,36.29,267,1,0,1,20.5%,4,0,99.0,7.6,9.2,0.08,0.24,-1.6,-0.16,-3.9,4.07,
chris rodriguez,26,WAS,12,112,345,32.46,500,167,1.49,333,2.97,3,4,55,7.27,30,6,0,6,46.5%,0,0,92.0,7.7,7.8,0.5,0.62,-0.1,-0.12,-3.8,4.45,
hassan haskins,26,LAC,11,17,359,4.74,47,21,1.24,26,1.53,4,4,70,5.71,13,0,0,0,3.3%,0,0,10.0,0.9,1.2,0.0,0.02,-0.3,-0.02,-10.6,4.0,
tyler goodson,25,IND,10,9,373,2.41,24,14,1.56,10,1.11,2,3,77,3.9,8,0,0,0,0.0%,0,0,5.2,0.5,1.2,0.0,0.06,-0.6,-0.06,-11.0,4.45,
dernest johnson,29,2TM,5,14,663,2.11,25,16,1.14,9,0.64,0,0,209,0.0,0,0,0,0,0.9%,0,0,2.5,0.5,1.8,0.0,0.09,-1.3,-0.09,-11.0,4.08,
cordarrelle patterson,34,FA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,,
kenny mcintosh,25,SEA,0,0,435,0.0,0,0,,0,,0,0,63,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.13,
craig reynolds,29,DET,5,3,407,0.74,4,4,1.33,0,0.0,0,0,123,0.0,0,0,0,0,0.0%,0,0,0.4,0.1,0.3,0.0,0.0,-0.2,0.0,-11.4,4.19,
isaiah davis,23,NYJ,16,43,334,12.87,236,130,3.02,106,2.47,21,28,93,30.11,186,1,0,0,19.6%,1,0,71.2,4.5,3.9,0.06,0.06,0.6,0.01,-7.0,4.19,
dare ogunbowale,31,HOU,14,11,399,2.76,25,11,1.0,14,1.27,10,13,77,16.88,76,1,0,1,10.0%,2,0,24.1,1.7,2.4,0.07,0.15,-0.7,-0.08,-9.8,4.04,
will shipley,23,PHI,14,14,364,3.85,49,28,2.0,21,1.5,9,12,69,17.39,56,0,0,0,0.0%,0,0,19.5,1.4,1.8,0.0,0.02,-0.4,-0.02,-10.1,4.09,
pierre strong,27,GNB,0,0,386,0.0,0,0,,0,,0,0,78,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.38,
emari demercado,26,ARI,12,44,292,15.07,312,194,4.41,118,2.68,13,20,124,16.13,101,0,1,0,12.8%,3,1,58.3,4.9,4.8,0.08,0.16,0.0,-0.07,-6.6,4.07,
julius chestnut,25,TEN,16,11,328,3.35,40,28,2.55,12,1.09,0,2,93,2.15,0,0,0,0,12.1%,0,0,4.0,0.2,0.6,0.0,0.03,-0.3,-0.03,-11.2,4.44,
ronnie rivers,26,LAR,6,9,413,2.18,46,26,2.89,20,2.22,0,0,64,0.0,0,0,0,0,0.0%,0,0,4.6,0.8,0.7,0.0,0.01,0.0,-0.01,-10.7,5.09,
jamycal hasty,29,MIA,0,0,380,0.0,0,0,,0,,0,0,114,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.18,
jordan mims,26,TEN,1,0,328,0.0,0,0,,0,,0,0,93,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.44,
samaje perine,30,CIN,15,84,334,25.15,382,215,2.56,167,1.99,17,21,111,18.92,87,3,0,2,30.8%,1,0,77.9,5.2,5.5,0.2,0.2,-0.3,0.0,-6.3,4.64,
deuce vaughn,24,DEN,0,0,354,0.0,0,0,,0,,0,0,117,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.36,
jeff wilson,30,MIA,0,0,380,0.0,0,0,,0,,0,0,114,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.18,
raheem blackshear,27,NYJ,0,0,334,0.0,0,0,,0,,0,0,93,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.19,
keaton mitchell,23,BAL,13,59,392,15.05,341,213,3.61,128,2.17,9,12,73,16.44,63,1,0,1,17.1%,0,0,55.4,4.3,4.1,0.08,0.12,0.2,-0.04,-7.2,4.47,
eric gray,26,NYG,1,0,396,0.0,0,0,,0,,0,0,99,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.41,
mike boone,30,MIA,0,0,380,0.0,0,0,,0,,0,0,114,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.18,
clyde edwards-helaire,26,KAN,2,7,336,2.08,13,3,0.43,10,1.43,2,2,89,2.25,9,0,0,0,0.0%,0,0,4.2,2.1,3.1,0.0,0.04,-1.0,-0.04,-9.4,4.45,
terrell jennings,24,NWE,6,23,371,6.2,73,50,2.17,23,1.0,1,1,85,1.18,9,1,0,1,5.6%,0,0,15.2,2.5,2.6,0.17,0.16,0.0,0.01,-9.0,4.09,
jase mcclellan,23,TAM,0,0,398,0.0,0,0,,0,,0,0,91,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.07,
hunter luepke,25,DAL,14,16,383,4.18,71,26,1.62,45,2.81,13,15,82,18.29,109,0,1,0,1.3%,4,1,37.0,2.6,2.6,0.07,0.09,0.1,-0.02,-8.9,4.66,
tyler badie,26,DEN,16,8,354,2.26,23,8,1.0,15,1.88,19,31,117,26.5,141,0,0,0,3.5%,3,0,35.4,2.2,3.2,0.0,0.08,-0.9,-0.08,-9.3,4.36,
rasheen ali,24,BAL,15,7,392,1.79,24,21,3.0,3,0.43,9,11,73,15.07,68,0,1,0,2.4%,1,0,24.2,1.6,1.3,0.07,0.02,0.3,0.05,-9.9,4.47,
jj taylor,27,FA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,,
jonathon brooks,22,CAR,0,0,391,0.0,0,0,,0,,0,0,92,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.67,
deejay dallas,27,2TM,5,3,764,0.39,21,18,6.0,3,1.0,0,1,170,0.59,0,0,0,0,0.7%,0,0,2.1,0.4,0.7,0.0,0.01,-0.2,-0.01,-11.1,4.44,
dalvin cook,30,FA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,,
travis homer,27,CHI,8,1,400,0.25,-2,-2,-2.0,0,0.0,0,0,79,0.0,0,0,0,0,0.0%,0,0,-0.2,0.0,0.1,0.0,0.0,-0.1,0.0,-11.5,4.97,
jermar jefferson,25,ARI,0,0,292,0.0,0,0,,0,,0,0,124,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.07,
marshawn lloyd,24,GNB,0,0,386,0.0,0,0,,0,,0,0,78,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.38,
aaron shampklin,26,MIA,0,0,380,0.0,0,0,,0,,0,0,114,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.18,
sione vaki,24,DET,8,1,407,0.25,4,2,2.0,2,2.0,0,0,123,0.0,0,0,0,0,0.0%,0,0,0.4,0.1,0.1,0.0,0.0,0.0,0.0,-11.4,4.19,
chris collier,25,LVR,0,0,307,0.0,0,0,,0,,0,0,95,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,3.62,
jacob kibodi,27,FA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,,
jonathan ward,28,BAL,0,0,392,0.0,0,0,,0,,0,0,73,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.47,
tony jones,28,FA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,,
blake watson,26,TEN,0,0,328,0.0,0,0,,0,,0,0,93,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.44,
tyrion davis-price,25,GNB,0,0,386,0.0,0,0,,0,,0,0,78,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.38,
darrynton evans,27,BUF,0,0,419,0.0,0,0,,0,,0,0,88,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.96,
myles gaskin,28,SEA,1,3,435,0.69,6,2,0.67,4,1.33,0,0,63,0.0,0,0,0,0,0.0%,0,0,0.6,0.6,1.5,0.0,0.03,-0.9,-0.03,-10.9,4.13,
george holani,26,SEA,10,22,435,5.06,73,36,1.64,37,1.68,2,2,63,3.17,15,1,0,1,5.6%,0,0,20.8,2.1,1.5,0.1,0.04,0.6,0.06,-9.4,4.13,
keshawn vaughn,28,SFO,0,0,405,0.0,0,0,,0,,0,0,169,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.29,
british brooks,26,HOU,8,17,399,4.26,78,22,1.29,56,3.29,0,0,77,0.0,0,0,0,0,3.3%,0,0,7.8,1.0,1.9,0.0,0.18,-1.0,-0.18,-10.5,4.04,
josh kelley,28,FA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,,
dylan laube,26,LVR,17,7,307,2.28,9,3,0.43,6,0.86,3,4,95,4.21,18,0,0,0,0.0%,0,0,5.7,0.3,0.5,0.0,0.0,-0.2,0.0,-11.2,3.62,
cody schrader,26,DEN,0,0,354,0.0,0,0,,0,,0,0,117,0.0,0,0,0,0,0.0%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5,4.36,
Ashton Jeanty,22,LVR,17,266,307,86.64,975,419,1.58,556,2.09,55,73,95,76.84,346,5,5,3,89.5%,9,4,245.1,14.4,14.6,0.59,0.44,-0.2,0.15,2.9,3.62,
RJ Harvey,24,DEN,17,146,354,41.24,540,278,1.9,262,1.79,47,58,117,49.57,356,7,5,5,49.1%,9,4,206.6,12.2,11.1,0.71,0.47,1.0,0.24,0.7,4.36,
TreVeyon Henderson,23,NWE,17,180,371,48.52,911,549,3.05,362,2.01,35,42,85,49.41,221,9,1,5,50.7%,4,1,206.2,12.1,11.0,0.59,0.48,1.2,0.11,0.6,4.09,
Quinshon Judkins,22,CLE,14,230,353,65.16,827,322,1.4,505,2.2,26,36,120,30.0,171,7,0,6,64.0%,1,0,169.8,12.1,12.9,0.5,0.45,-0.8,0.05,0.6,3.54,
